,search_terms,term_1,term_2,title,authors,year,venue,type,key,url,ee,pages,volume,number,publisher,isbn,doi
0,Schema Evolution,Schema,Evolution,Comparaison et évolution de schémas XML. (Comparison and evolution of XML schema).,['Joshua Amavi'],2014,,Books and Theses,phd/hal/Amavi14,https://dblp.org/rec/phd/hal/Amavi14,https://tel.archives-ouvertes.fr/tel-01171845,,,,,,
1,Schema Evolution,Schema,Evolution,Analysis of evolutionary process using evolutionary activity and modular schema analysis.,"['Youngseol Lee', 'Sung-Bae Cho']",2010,IEEE Congress on Evolutionary Computation,Conference and Workshop Papers,conf/cec/LeeC10,https://dblp.org/rec/conf/cec/LeeC10,https://doi.org/10.1109/CEC.2010.5585996,1-6,,,,,10.1109/CEC.2010.5585996
2,Schema Evolution,Schema,Evolution,Évolution de schémas dans les entrepôts de données : mise à jour de hiérarchies de dimension pour la personnalisation des analyses. (Data warehouses&apos; schema evolution: dimension hierarchies updating for analyses personalization).,['Cécile Favre'],2007,,Books and Theses,phd/hal/Favre07a,https://dblp.org/rec/phd/hal/Favre07a,https://tel.archives-ouvertes.fr/tel-00269037,,,,,,
3,Schema Evolution,Schema,Evolution,Gestion d&apos;un évolution du schéma d&apos;une base de données à objets: une approche par compromis. (Object-Oriented Database Schema Evolution: A compromise).,['Boualem Benatallah'],1996,,Books and Theses,phd/hal/Benatallah96,https://dblp.org/rec/phd/hal/Benatallah96,https://tel.archives-ouvertes.fr/tel-00345357,,,,,,
4,Schema Evolution,Schema,Evolution,Supporting schema evolution in schema-less NoSQL data stores.,"['Loup Meurice', 'Anthony Cleve']",2017,SANER,Conference and Workshop Papers,conf/wcre/MeuriceC17,https://dblp.org/rec/conf/wcre/MeuriceC17,https://doi.org/10.1109/SANER.2017.7884653,457-461,,,,,10.1109/SANER.2017.7884653
5,Schema Evolution,Schema,Evolution,Evolutionary Database Design: Enhancing Data Abstraction Through Database Modularization to Achieve Graceful Schema Evolution.,"['Gustavo Bartz Guedes', 'Gisele Busichia Baioco', 'Regina Lúcia de Oliveira Moraes']",2016,DEXA,Conference and Workshop Papers,conf/dexa/GuedesBM16,https://dblp.org/rec/conf/dexa/GuedesBM16,https://doi.org/10.1007/978-3-319-44403-1_22,355-369,,,,,10.1007/978-3-319-44403-1_22
6,Schema Evolution,Schema,Evolution,Evolution Feature Oriented Model Driven Product Line Engineering Approach for Synergistic and Dynamic Service Evolution in Clouds: Four Kinds of Schema.,"['Zhe Wang 0029', 'Kevin Chalmers']",2013,ANT/SEIT,Conference and Workshop Papers,conf/ant/WangC13,https://dblp.org/rec/conf/ant/WangC13,https://doi.org/10.1016/j.procs.2013.06.120,889-894,,,,,10.1016/J.PROCS.2013.06.120
7,Schema Evolution,Schema,Evolution,Optimising Schema Evolution Operation Sequences in Object Databases for Data Evolution.,"['Tilmann Zäschke', 'Stefania Leone', 'Moira C. Norrie']",2012,ER,Conference and Workshop Papers,conf/er/ZaschkeLN12,https://dblp.org/rec/conf/er/ZaschkeLN12,https://doi.org/10.1007/978-3-642-34002-4_29,369-382,,,,,10.1007/978-3-642-34002-4_29
8,Schema Evolution,Schema,Evolution,Schema Mapping Evolution Through Composition and Inversion.,"['Ronald Fagin', 'Phokion G. Kolaitis', 'Lucian Popa 0001', 'Wang Chiew Tan']",2011,Schema Matching and Mapping,Parts in Books or Collections,books/sp/bellahsene2011/FaginKPT11,https://dblp.org/rec/books/sp/bellahsene2011/FaginKPT11,https://doi.org/10.1007/978-3-642-16518-4_7,191-222,,,,,10.1007/978-3-642-16518-4_7
9,Schema Evolution,Schema,Evolution,Recent Advances in Schema and Ontology Evolution.,"['Michael Hartung', 'James F. Terwilliger', 'Erhard Rahm']",2011,Schema Matching and Mapping,Parts in Books or Collections,books/sp/bellahsene2011/HartungTR11,https://dblp.org/rec/books/sp/bellahsene2011/HartungTR11,https://doi.org/10.1007/978-3-642-16518-4_6,149-190,,,,,10.1007/978-3-642-16518-4_6
10,Schema Evolution,Schema,Evolution,Empirical analysis of schemata in Genetic Programming using maximal schemata and MSG.,"['William D. Smart', 'Mengjie Zhang 0001']",2008,IEEE Congress on Evolutionary Computation,Conference and Workshop Papers,conf/cec/SmartZ08,https://dblp.org/rec/conf/cec/SmartZ08,https://doi.org/10.1109/CEC.2008.4631200,2983-2990,,,,,10.1109/CEC.2008.4631200
11,Schema Evolution,Schema,Evolution,X-Evolution: A Comprehensive Approach for XML Schema Evolution.,"['Giovanna Guerrini', 'Marco Mesiti']",2008,DEXA Workshops,Conference and Workshop Papers,conf/dexaw/GuerriniM08,https://dblp.org/rec/conf/dexaw/GuerriniM08,https://doi.org/10.1109/DEXA.2008.128,251-255,,,,,10.1109/DEXA.2008.128
12,Schema Evolution,Schema,Evolution,"Towards schema-based, constructivist robot learning: Validating an evolutionary search algorithm for schema chunking.","['Yifan Tang', 'Lynne E. Parker']",2008,ICRA,Conference and Workshop Papers,conf/icra/TangP08,https://dblp.org/rec/conf/icra/TangP08,https://doi.org/10.1109/ROBOT.2008.4543640,2837-2844,,,,,10.1109/ROBOT.2008.4543640
13,Schema Evolution,Schema,Evolution,An Evolutionary Approach for Dynamic Reconfiguration in Heterogeneous Database Schemas.,"['Ki-Won Yeom', 'Ji-Hyung Park']",2006,IEEE Congress on Evolutionary Computation,Conference and Workshop Papers,conf/cec/YeomP06a,https://dblp.org/rec/conf/cec/YeomP06a,https://doi.org/10.1109/CEC.2006.1688364,597-600,,,,,10.1109/CEC.2006.1688364
14,Schema Evolution,Schema,Evolution,Schema Repository for Database Schema Evolution.,"['Hassina Bounif', 'Rachel Pottinger']",2006,DEXA Workshops,Conference and Workshop Papers,conf/dexaw/BounifP06,https://dblp.org/rec/conf/dexaw/BounifP06,https://doi.org/10.1109/DEXA.2006.125,647-651,,,,,10.1109/DEXA.2006.125
15,Schema Evolution,Schema,Evolution,X-Evolution: A System for XML Schema Evolution and Document Adaptation.,"['Marco Mesiti', 'Roberto Celle', 'Matteo Alberto Sorrenti', 'Giovanna Guerrini']",2006,EDBT,Conference and Workshop Papers,conf/edbt/MesitiCSG06,https://dblp.org/rec/conf/edbt/MesitiCSG06,https://doi.org/10.1007/11687238_78,1143-1146,,,,,10.1007/11687238_78
16,Schema Evolution,Schema,Evolution,Ontology Evolution: Not the Same as Schema Evolution.,"['Natalya Fridman Noy', 'Michel C. A. Klein']",2004,Knowl. Inf. Syst.,Journal Articles,journals/kais/NoyK04,https://dblp.org/rec/journals/kais/NoyK04,https://doi.org/10.1007/s10115-003-0137-2,428-440,6,4,,,10.1007/S10115-003-0137-2
