,search_terms,term_1,term_2,title,authors,year,venue,type,key,url,ee,pages,volume,number,publisher,isbn,doi
0,Schema Evolution,Schema,Evolution,Comparaison et évolution de schémas XML. (Comparison and evolution of XML schema).,['Joshua Amavi'],2014,,Books and Theses,phd/hal/Amavi14,https://dblp.org/rec/phd/hal/Amavi14,https://tel.archives-ouvertes.fr/tel-01171845,,,,,,
4,Schema Evolution,Schema,Evolution,Supporting schema evolution in schema-less NoSQL data stores.,"['Loup Meurice', 'Anthony Cleve']",2017,SANER,Conference and Workshop Papers,conf/wcre/MeuriceC17,https://dblp.org/rec/conf/wcre/MeuriceC17,https://doi.org/10.1109/SANER.2017.7884653,457-461,,,,,10.1109/SANER.2017.7884653
5,Schema Evolution,Schema,Evolution,Evolutionary Database Design: Enhancing Data Abstraction Through Database Modularization to Achieve Graceful Schema Evolution.,"['Gustavo Bartz Guedes', 'Gisele Busichia Baioco', 'Regina Lúcia de Oliveira Moraes']",2016,DEXA,Conference and Workshop Papers,conf/dexa/GuedesBM16,https://dblp.org/rec/conf/dexa/GuedesBM16,https://doi.org/10.1007/978-3-319-44403-1_22,355-369,,,,,10.1007/978-3-319-44403-1_22
6,Schema Evolution,Schema,Evolution,Evolution Feature Oriented Model Driven Product Line Engineering Approach for Synergistic and Dynamic Service Evolution in Clouds: Four Kinds of Schema.,"['Zhe Wang 0029', 'Kevin Chalmers']",2013,ANT/SEIT,Conference and Workshop Papers,conf/ant/WangC13,https://dblp.org/rec/conf/ant/WangC13,https://doi.org/10.1016/j.procs.2013.06.120,889-894,,,,,10.1016/J.PROCS.2013.06.120
7,Schema Evolution,Schema,Evolution,Optimising Schema Evolution Operation Sequences in Object Databases for Data Evolution.,"['Tilmann Zäschke', 'Stefania Leone', 'Moira C. Norrie']",2012,ER,Conference and Workshop Papers,conf/er/ZaschkeLN12,https://dblp.org/rec/conf/er/ZaschkeLN12,https://doi.org/10.1007/978-3-642-34002-4_29,369-382,,,,,10.1007/978-3-642-34002-4_29
8,Schema Evolution,Schema,Evolution,Schema Mapping Evolution Through Composition and Inversion.,"['Ronald Fagin', 'Phokion G. Kolaitis', 'Lucian Popa 0001', 'Wang Chiew Tan']",2011,Schema Matching and Mapping,Parts in Books or Collections,books/sp/bellahsene2011/FaginKPT11,https://dblp.org/rec/books/sp/bellahsene2011/FaginKPT11,https://doi.org/10.1007/978-3-642-16518-4_7,191-222,,,,,10.1007/978-3-642-16518-4_7
9,Schema Evolution,Schema,Evolution,Recent Advances in Schema and Ontology Evolution.,"['Michael Hartung', 'James F. Terwilliger', 'Erhard Rahm']",2011,Schema Matching and Mapping,Parts in Books or Collections,books/sp/bellahsene2011/HartungTR11,https://dblp.org/rec/books/sp/bellahsene2011/HartungTR11,https://doi.org/10.1007/978-3-642-16518-4_6,149-190,,,,,10.1007/978-3-642-16518-4_6
25,Schema Evolution,Schema,Evolution,Code Recommendation for Schema Evolution of Mimic Storage Systems.,"['Xianglong Kong', 'Zhuo Lv', 'Cen Chen 0004', 'Hao Chang', 'Nuannuan Li', 'Fan Zhang']",2025,Int. J. Softw. Eng. Knowl. Eng.,Journal Articles,journals/ijseke/KongLCCLZ25,https://dblp.org/rec/journals/ijseke/KongLCCLZ25,https://doi.org/10.1142/S0218194024500499,89-110,35,1,,,10.1142/S0218194024500499
26,Schema Evolution,Schema,Evolution,EVOSCHEMA: TOWARDS TEXT-TO-SQL ROBUSTNESS AGAINST SCHEMA EVOLUTION.,"['Tianshu Zhang 0001', 'Kun Qian 0002', 'Siddhartha Sahai', 'Yuan Tian', 'Shaddy Garg', 'Huan Sun 0001', 'Yunyao Li 0001']",2025,Proc. VLDB Endow.,Journal Articles,journals/pvldb/ZhangQSTGSL25,https://dblp.org/rec/journals/pvldb/ZhangQSTGSL25,https://www.vldb.org/pvldb/vol18/p3655-zhang.pdf,3655-3668,18,10,,,
27,Schema Evolution,Schema,Evolution,PROV-IDEA: Supporting Interoperable Schema and Data Provenance within Database Evolution.,"['Beatriz Pérez 0001', 'Ángel Luis Rubio', 'María A. Zapata']",2025,ACM Trans. Softw. Eng. Methodol.,Journal Articles,journals/tosem/PerezRZ25,https://dblp.org/rec/journals/tosem/PerezRZ25,https://doi.org/10.1145/3697008,59:1-59:27,34,3,,,10.1145/3697008
28,Schema Evolution,Schema,Evolution,Time-Related Patterns Of Schema Evolution.,"['Panos Vassiliadis', 'Alexandros Karakasidis 0001']",2025,EDBT,Conference and Workshop Papers,conf/edbt/Vassiliadis025,https://dblp.org/rec/conf/edbt/Vassiliadis025,https://doi.org/10.48786/edbt.2025.25,310-323,,,,,10.48786/EDBT.2025.25
29,Schema Evolution,Schema,Evolution,DynaSchema: A Library to Support the Relational Data Schema Evolution for the Self-Adaptive Software Domain.,"['Gabriel Nagassaki Campos', 'Frank José Affonso']",2025,ICEIS,Conference and Workshop Papers,conf/iceis/CamposA25,https://dblp.org/rec/conf/iceis/CamposA25,https://doi.org/10.5220/0013349000003929,722-733,,,,,10.5220/0013349000003929
30,Schema Evolution,Schema,Evolution,AEGIS : Automated Co-Evolutionary Framework for Guarding Prompt Injections Schema.,"['Ting-Chun Liu', 'Ching Yu Hsu', 'Kuan-Yi Lee', 'Chi-An Fu', 'Hung-yi Lee']",2025,CoRR,Informal and Other Publications,journals/corr/abs-2509-00088,https://dblp.org/rec/journals/corr/abs-2509-00088,https://doi.org/10.48550/arXiv.2509.00088,,abs/2509.00088,,,,10.48550/ARXIV.2509.00088
31,Schema Evolution,Schema,Evolution,NoSQL document data migration strategy in the context of schema evolution.,"['Solomiia Fedushko', 'Roman Malyi', 'Yuriy Syerov', 'Pavlo Serdyuk']",2024,Data Knowl. Eng.,Journal Articles,journals/dke/FedushkoMSS24,https://dblp.org/rec/journals/dke/FedushkoMSS24,https://doi.org/10.1016/j.datak.2024.102369,102369,154,,,,10.1016/J.DATAK.2024.102369
32,Schema Evolution,Schema,Evolution,Schema Evolution in Interactive Programming Systems.,"['Jonathan Edwards', 'Tomas Petricek 0001', 'Tijs van der Storm', 'Geoffrey Litt']",2024,Art Sci. Eng. Program.,Journal Articles,journals/programming/EdwardsPSL24,https://dblp.org/rec/journals/programming/EdwardsPSL24,https://doi.org/10.22152/programming-journal.org/2025/9/2,,9,1,,,10.22152/PROGRAMMING-JOURNAL.ORG/2025/9/2
33,Schema Evolution,Schema,Evolution,A Generic Schema Evolution Approach for NoSQL and Relational Databases.,"['Alberto Hernández Chillón', 'Meike Klettke', 'Diego Sevilla Ruiz', 'Jesús García Molina']",2024,IEEE Trans. Knowl. Data Eng.,Journal Articles,journals/tkde/ChillonKRM24,https://dblp.org/rec/journals/tkde/ChillonKRM24,https://doi.org/10.1109/TKDE.2024.3362273,2774-2789,36,7,,,10.1109/TKDE.2024.3362273
34,Schema Evolution,Schema,Evolution,"Estimation, Impact and Visualization of Schema Evolution in Graph Databases.",['Dominique Hausler'],2024,MoDELS,Conference and Workshop Papers,conf/models/Hausler24,https://dblp.org/rec/conf/models/Hausler24,https://doi.org/10.1145/3652620.3688196,123-129,,,,,10.1145/3652620.3688196
35,Schema Evolution,Schema,Evolution,Statistical Validation of Column Matching in the Database Schema Evolution of the Brazilian Public School Census.,"['Muriki G. Yamanaka', 'Diogo Henrique de Almeida', 'Paulo Ricardo Lisboa de Almeida', 'Simone Dominico', 'Letícia M. Peres', 'Marcos Sfair Sunyé', 'Eduardo C. de Almeida']",2024,SBBD,Conference and Workshop Papers,conf/sbbd/YamanakaAADPSA24,https://dblp.org/rec/conf/sbbd/YamanakaAADPSA24,https://doi.org/10.5753/sbbd.2024.240840,498-509,,,,,10.5753/SBBD.2024.240840
36,Schema Evolution,Schema,Evolution,Statistical Validation of Column Matching in the Database Schema Evolution of the Brazilian Public School Census.,"['Muriki G. Yamanaka', 'Diogo Henrique de Almeida', 'Paulo R. Lisboa de Almeida', 'Simone Dominico', 'Letícia M. Peres', 'Marcos Sfair Sunyé', 'Eduardo C. de Almeida']",2024,CoRR,Informal and Other Publications,journals/corr/abs-2407-09885,https://dblp.org/rec/journals/corr/abs-2407-09885,https://doi.org/10.48550/arXiv.2407.09885,,abs/2407.09885,,,,10.48550/ARXIV.2407.09885
37,Schema Evolution,Schema,Evolution,Schema Evolution in Interactive Programming Systems.,"['Jonathan Edwards', 'Tomas Petricek 0001', 'Tijs van der Storm', 'Geoffrey Litt']",2024,CoRR,Informal and Other Publications,journals/corr/abs-2412-06269,https://dblp.org/rec/journals/corr/abs-2412-06269,https://doi.org/10.48550/arXiv.2412.06269,,abs/2412.06269,,,,10.48550/ARXIV.2412.06269
38,Schema Evolution,Schema,Evolution,Evolutionary combination of connected event schemas into meaningful plots.,"['Pablo Gervás', 'Gonzalo Méndez 0001', 'Eugenio Concepción']",2023,Genet. Program. Evolvable Mach.,Journal Articles,journals/gpem/GervasMC23,https://dblp.org/rec/journals/gpem/GervasMC23,https://doi.org/10.1007/s10710-023-09454-2,7,24,1,,,10.1007/S10710-023-09454-2
39,Schema Evolution,Schema,Evolution,"Clustering, Universalities, and Evolutionary Schema Design.","['Issei Fujishiro', 'Naoko Sawada', 'Makoto Uemura']",2023,EDBT/ICDT Workshops,Conference and Workshop Papers,conf/edbt/FujishiroSU23,https://dblp.org/rec/conf/edbt/FujishiroSU23,https://ceur-ws.org/Vol-3379/BigVis2023_702.pdf,,,,,,
40,Schema Evolution,Schema,Evolution,Joint Source and Schema Evolution: Insights from a Study of 195 FOSS Projects.,"['Panos Vassiliadis', 'Fation Shehaj', 'George Kalampokis', 'Apostolos V. Zarras']",2023,EDBT,Conference and Workshop Papers,conf/edbt/VassiliadisSKZ23,https://dblp.org/rec/conf/edbt/VassiliadisSKZ23,https://doi.org/10.48786/edbt.2023.03,27-39,,,,,10.48786/EDBT.2023.03
41,Schema Evolution,Schema,Evolution,Parallel lives diagrams for co-evolving communities and their application to schema evolution.,"['Fanis Giachos', 'Nikos Pantelidis', 'Christos Batsilas', 'Apostolos V. Zarras', 'Panos Vassiliadis']",2023,ER,Conference and Workshop Papers,conf/er/GiachosPBZV23,https://dblp.org/rec/conf/er/GiachosPBZV23,https://ceur-ws.org/Vol-3618/forum_paper_19.pdf,,,,,,
42,Schema Evolution,Schema,Evolution,Automated Database Schema Evolution in Microservices.,['Maxime André 0001'],2023,PhD@VLDB,Conference and Workshop Papers,conf/vldb/Andre23,https://dblp.org/rec/conf/vldb/Andre23,https://ceur-ws.org/Vol-3452/paper10.pdf,37-40,,,,,
43,Schema Evolution,Schema,Evolution,Self-adapting data migration in the context of schema evolution in NoSQL databases.,"['Andrea Hillenbrand', 'Uta Störl', 'Shamil Nabiyev', 'Meike Klettke']",2022,Distributed Parallel Databases,Journal Articles,journals/dpd/HillenbrandSNK22,https://dblp.org/rec/journals/dpd/HillenbrandSNK22,https://doi.org/10.1007/s10619-021-07334-1,5-25,40,1,,,10.1007/S10619-021-07334-1
