Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Pérez B.; Rubio Garcia A.L.; Zapata M.A.,"Pérez, Beatriz (35226781700); Rubio Garcia, Ángel Luis (59680356800); Zapata, María A. (8958017000)",35226781700; 59680356800; 8958017000,PROV-IDEA: Supporting Interoperable Schema and Data Provenance within Database Evolution,2025,ACM Transactions on Software Engineering and Methodology,34,3,59,,,10.1145/3697008,https://www.scopus.com/pages/publications/86000540022?origin=resultslist,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-86000540022
Song J.; Dong W.; Fu Y.; Wang M.; Liu B.; Ding H.; Liu J.; Song R.,"Song, Jinzhou (59476029900); Dong, Wen (59476030000); Fu, Yanlin (59476235500); Wang, Mingqiang (59673429500); Liu, Bao (59673429600); Ding, Hong (59672969500); Liu, Jun (59476235600); Song, Rui (59476132400)",59476029900; 59476030000; 59476235500; 59673429500; 59673429600; 59672969500; 59476235600; 59476132400,Research on Compatibility and Performance Verification Method of Domestic Database for Electronic Operation and Maintenance System Migration,2024,"Proceedings - 2024 7th International Conference on Data Science and Information Technology, DSIT 2024",,,,,,10.1109/DSIT61374.2024.10881984,https://www.scopus.com/pages/publications/86000251027?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-86000251027
Leila R.; Tazhibayeva P.; Abulkhair I.; Pogolovkin D.; Yelzhas K.,"Leila, Rzayeva (57218901417); Tazhibayeva, Perizat (59666379600); Abulkhair, Imanberdiyev (59666762700); Pogolovkin, Daniil (59666192100); Yelzhas, Kurmangali (59666192200)",57218901417; 59666379600; 59666762700; 59666192100; 59666192200,Development of a Chat History Analysis Module Using Advanced Machine Learning Models and Vector Databases for Digital Forensic Tools,2024,"IEEE International Conference on Modeling, Simulation and Intelligent Computing, MoSICom 2024 - Proceedings",,,,490,495,10.1109/MoSICom63082.2024.10882040,https://www.scopus.com/pages/publications/85219627510?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85219627510
Li Y.; Gu B.; Ma L.; He L.-N.; Bao X.; Huang Y.; Yang R.; Wang L.; Yang Q.; Yang H.; Zuo Z.; Gao S.; Zhao X.; Chen K.,"Li, Yongtian (59654163200); Gu, Bianli (57195034433); Ma, Lixia (57829894600); He, Li-Na (57211082650); Bao, Xiaoqiong (57425506200); Huang, Yuantai (57394125000); Yang, Rui (59654964200); Wang, Li (59655762200); Yang, Qingtao (59654964300); Yang, Haibo (57224440254); Zuo, Zhixiang (55613958200); Gao, Shegan (57217039260); Zhao, Xueya (57696809800); Chen, Ke (55756359300)",59654163200; 57195034433; 57829894600; 57211082650; 57425506200; 57394125000; 59654964200; 59655762200; 59654964300; 57224440254; 55613958200; 57217039260; 57696809800; 55756359300,m6A2Circ: A comprehensive database for decoding the regulatory relationship between m6A modification and circular RNA,2025,Computational and Structural Biotechnology Journal,27,,,813,820,10.1016/j.csbj.2025.02.018,https://www.scopus.com/pages/publications/85218912431?origin=resultslist,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85218912431
Rifqi M.A.; Husodo A.Y.; Wijayanto H.,"Rifqi, Muhammad Ari (59487338700); Husodo, Ario Yudo (53263950600); Wijayanto, Heri (56659379800)",59487338700; 53263950600; 56659379800,Development of SQL and NoSQL Database Integration Using Query Direct Access and Change Data Capture Approaches in an Android Application,2024,"COMNETSAT 2024 - IEEE International Conference on Communication, Networks and Satellite",,,,671,679,10.1109/COMNETSAT63286.2024.10862087,https://www.scopus.com/pages/publications/85218503642?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85218503642
Paiva C.A.; Maximino R.; Paiva F.; Vieira R.A.; Espanha N.; Pimentel J.F.; Wiese I.; Gerosa M.A.; Steinmacher I.; Murta L.; Braganholo V.,"Paiva, Camila A. (59567158200); Maximino, Raquel (59567095000); Paiva, Frederico (59567422000); Vieira, Rafael Accetta (59567030300); Espanha, Nicole (59567158300); Pimentel, João Felipe (56589597000); Wiese, Igor (6603482090); Gerosa, Marco Aurélio (10043515400); Steinmacher, Igor (36609225300); Murta, Leonardo (15832273200); Braganholo, Vanessa (15025989300)",59567158200; 59567095000; 59567422000; 59567030300; 59567158300; 56589597000; 6603482090; 10043515400; 36609225300; 15832273200; 15025989300,Analyzing the adoption of database management systems throughout the history of open source projects,2025,Empirical Software Engineering,30,3,71,,,10.1007/s10664-025-10627-z,https://www.scopus.com/pages/publications/85218423684?origin=resultslist,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85218423684
Patra A.; Kashyap A.; Ida Seraphim B.,"Patra, Ankit (59561696100); Kashyap, Ankur (59561696200); Ida Seraphim, B. (57210343217)",59561696100; 59561696200; 57210343217,Energy-Efficient Green Database Systems: Adaptive Resource Allocation in Cloud Platforms,2024,"Proceedings - 2024 IEEE 16th International Conference on Communication Systems and Network Technologies, CICN 2024",,,,1080,1086,10.1109/CICN63059.2024.10847505,https://www.scopus.com/pages/publications/85218015116?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85218015116
Kim H.; Kim T.,"Kim, H. (59508971000); Kim, T. (57205421554)",59508971000; 57205421554,Building Change Detection Based on Roof Feature Analysis Using Single Satellite Imagery and Building Database,2024,"45th Asian Conference on Remote Sensing, ACRS 2024",,,,,,,https://www.scopus.com/pages/publications/85217771567?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85217771567
Yuan J.; Li X.; Zhang Z.; Zhang Q.; Zou Q.; Cui F.,"Yuan, Jiahao (59406616800); Li, Xingfeng (57188756632); Zhang, Zilong (57222409030); Zhang, Qingchen (56017374400); Zou, Quan (23391564900); Cui, Feifei (57219935350)",59406616800; 57188756632; 57222409030; 56017374400; 23391564900; 57219935350,RNASite: A one-stop tool website that integrates multiple RNA modification site databases and servers,2024,"Proceedings - 2024 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2024",,,,2816,2820,10.1109/BIBM62325.2024.10822116,https://www.scopus.com/pages/publications/85217281211?origin=resultslist,Conference paper,Final,,Scopus,2-s2.0-85217281211
Cao H.; Huang C.; Liu S.; Hu H.; Zhao M.; Zhou X.; Tu Y.; Qian W.,"Cao, Huijie (59547043900); Huang, Chenfeng (59547607400); Liu, Shengchi (59547607500); Hu, Huiqi (55894139500); Zhao, Minghao (58246418400); Zhou, Xuan (55522590500); Tu, Yaofeng (57211033638); Qian, Weining (7201831316)",59547043900; 59547607400; 59547607500; 55894139500; 58246418400; 55522590500; 57211033638; 7201831316,Aion: Live Migration for In-Memory Databases with Zero Downtime and Reduced Redundant Data Transfer,2025,Data Science and Engineering,10,2,,212,229,10.1007/s41019-024-00276-5,https://www.scopus.com/pages/publications/85217247692?origin=resultslist,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85217247692
