"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"El Alami A.; Bahaj M.; Cherti I.","El Alami, Alae (57189498602); Bahaj, Mohamed (24922487300); Cherti, Ilias (55572331900)","57189498602; 24922487300; 55572331900","Migration of a relational database RDB to an object oriented database OODB","2016","Journal of Theoretical and Applied Information Technology","87","3","","431","441","1","","https://www.scopus.com/pages/publications/84971378898?origin=resultslist","Article","Final","","Scopus","2-s2.0-84971378898"
"Conrad A.; Utzmann P.; Klettke M.; Störl U.","Conrad, André (57283559900); Utzmann, Philipp (57986532800); Klettke, Meike (16039653400); Störl, Uta (23037278500)","57283559900; 57986532800; 16039653400; 23037278500","Metamodels to support database migration between heterogeneous data stores","2022","Proceedings - ACM/IEEE 25th International Conference on Model Driven Engineering Languages and Systems, MODELS 2022: Companion Proceedings","","","","546","551","5","10.1145/3550356.3561574","https://www.scopus.com/pages/publications/85142928292?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85142928292"
"Efftinge S.; Frey S.; Hasselbring W.; Köhnlein J.","Efftinge, Sven (55427505200); Frey, Sören (37103873500); Hasselbring, Wilhelm (26643500000); Köhnlein, Jan (55427534400)","55427505200; 37103873500; 26643500000; 55427534400","Use of domain-specific languages for the migration of database applications; [Einsatz domänenspezifischer sprachen zur migration von datenbankanwendungen]","2011","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","180","","","554","573","2","","https://www.scopus.com/pages/publications/84867788337?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84867788337"
"Dadhich P.; Sadovykh A.; Bagnato A.; Kepka M.; Kaas O.; Charvát K.","Dadhich, Prasoon (57210787521); Sadovykh, Andrey (24479058100); Bagnato, Alessandra (36052505500); Kepka, Michal (57188957750); Kaas, Onďrej (57195326852); Charvát, Karel (55218452200)","57210787521; 24479058100; 36052505500; 57188957750; 57195326852; 55218452200","Sensor-based Database with SensLog: A Case Study of SQL to NoSQL Migration","2018","DATA 2018 - Proceedings of the 7th International Conference on Data Science, Technology and Applications","","","","239","244","1","10.5220/0006909202390244","https://www.scopus.com/pages/publications/85071501505?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85071501505"
"Tandya W.; Azizah F.N.","Tandya, Wilson (58703583200); Azizah, Fazat Nur (15135312100)","58703583200; 15135312100","Migration of Relational Database to NoSQL Document-Oriented Database","2023","Proceedings of 2023 IEEE International Conference on Data and Software Engineering, ICoDSE 2023","","","","180","185","3","10.1109/ICoDSE59534.2023.10291584","https://www.scopus.com/pages/publications/85177432260?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85177432260"
"Hillenbrand A.; Störl U.; Nabiyev S.; Klettke M.","Hillenbrand, Andrea (57210122758); Störl, Uta (23037278500); Nabiyev, Shamil (57217014907); Klettke, Meike (16039653400)","57210122758; 23037278500; 57217014907; 16039653400","Self-adapting data migration in the context of schema evolution in NoSQL databases","2022","Distributed and Parallel Databases","40","1","","5","25","14","10.1007/s10619-021-07334-1","https://www.scopus.com/pages/publications/85105190738?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85105190738"
"Hillenbrand A.; Störl U.","Hillenbrand, Andrea (57210122758); Störl, Uta (23037278500)","57210122758; 23037278500","Managing Schema Migration in NoSQL Databases: Advisor Heuristics vs. Self-adaptive Schema Migration Strategies","2023","Communications in Computer and Information Science","1708 CCIS","","","230","253","1","10.1007/978-3-031-38821-7_11","https://www.scopus.com/pages/publications/85172136418?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85172136418"
"Kasonde M.; Tembo S.","Kasonde, Mutale (57202836823); Tembo, Simon (57194788235)","57202836823; 57194788235","A Seamless network database migration tool for insititutions in Zambia","2018","International Journal of Advanced Computer Science and Applications","9","1","","191","199","1","10.14569/IJACSA.2018.090126","https://www.scopus.com/pages/publications/85049529885?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85049529885"
"Liang D.; Lin Y.; Ding G.","Liang, Dongzhao (57189660784); Lin, Yunzhen (56195374700); Ding, Guiguang (8221502200)","57189660784; 56195374700; 8221502200","Mid-model design used in model transition and data migration between relational databases and NoSQL databases","2015","Proceedings - 2015 IEEE International Conference on Smart City, SmartCity 2015, Held Jointly with 8th IEEE International Conference on Social Computing and Networking, SocialCom 2015, 5th IEEE International Conference on Sustainable Computing and Communications, SustainCom 2015, 2015 International Conference on Big Data Intelligence and Computing, DataCom 2015, 5th International Symposium on Cloud and Service Computing, SC2 2015","","","7463832","866","869","14","10.1109/SmartCity.2015.177","https://www.scopus.com/pages/publications/84973915852?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84973915852"
"Higuchi K.; Wang W.; Tsuji T.","Higuchi, Ken (35322431100); Wang, Wenqian (55454677300); Tsuji, Tatsuo (35732417000)","35322431100; 55454677300; 35732417000","Incremental data migration for multi-database systems","2012","Proceedings - 13th ACIS International Conference on Software Engineering, Artificial Intelligence, Networking, and Parallel/Distributed Computing, SNPD 2012","","","6299361","716","720","3","10.1109/SNPD.2012.51","https://www.scopus.com/pages/publications/84868560076?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84868560076"
"Namdeo B.; Suman U.","Namdeo, Basant (57214105184); Suman, Ugrasen (36700382100)","57214105184; 36700382100","Schema design advisor model for RDBMS to NoSQL database migration","2021","International Journal of Information Technology (Singapore)","13","1","","277","286","12","10.1007/s41870-020-00515-8","https://www.scopus.com/pages/publications/85091790781?origin=resultslist","Article","Final","","Scopus","2-s2.0-85091790781"
"Erraji A.; Maizate A.; Ozzif M.","Erraji, Abdelhak (57436410100); Maizate, Abderrahim (55820871000); Ozzif, Mohamed (57436410200)","57436410100; 55820871000; 57436410200","Toward a Smart Approach of Migration from Relational Database System to NoSQL System: Analyzing and Modeling","2022","Lecture Notes on Data Engineering and Communications Technologies","110","","","206","217","0","10.1007/978-3-030-94188-8_20","https://www.scopus.com/pages/publications/85123894173?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85123894173"
"Ramos-Vidal D.; Cortiñas A.; Luaces M.R.; Pedreira Ó.; Places Á.S.","Ramos-Vidal, Delfina (57224172210); Cortiñas, Alejandro (57021823200); Luaces, Miguel R. (8694723200); Pedreira, Óscar (23397760700); Places, Ángeles Saavedra (13403686900)","57224172210; 57021823200; 8694723200; 23397760700; 13403686900","DSL for the migration of legacy databases within the framework of an LPS; [DSL para la migración de bases de datos legacy en el marco de una LPS]","2022","26th Jornadas de Ingenieria del Software y Bases de Datos, JISBD 2022","","","","","","1","","https://www.scopus.com/pages/publications/85181261400?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85181261400"
