"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Mali J.; Ahvar S.; Atigui F.; Azough A.; Travers N.","Mali, Jihane (57219163525); Ahvar, Shohreh (55428250000); Atigui, Faten (55328022200); Azough, Ahmed (24469891700); Travers, Nicolas (23391144800)","57219163525; 55428250000; 55328022200; 24469891700; 23391144800","A Global Model-Driven Denormalization Approach for Schema Migration","2022","Lecture Notes in Business Information Processing","446 LNBIP","","","529","545","3","10.1007/978-3-031-05760-1_31","https://www.scopus.com/pages/publications/85130943241?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85130943241"
"Ramos-Vidal D.; Cortiñas A.; Luaces M.R.; Pedreira O.; Saavedra Places Á.; Assunção W.K.G.","Ramos-Vidal, Delfina (57224172210); Cortiñas, Alejandro (57021823200); Luaces, Miguel R. (8694723200); Pedreira, Oscar (23397760700); Saavedra Places, Ángeles (59460981200); Assunção, Wesley K. G. (37361009900)","57224172210; 57021823200; 8694723200; 23397760700; 59460981200; 37361009900","Seamless Data Migration between Database Schemas with DAMI-Framework: An Empirical Study on Developer Experience","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025","","","","453","464","0","10.1145/3756681.3756947","https://www.scopus.com/pages/publications/105027150400?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027150400"
"Zhao G.; Li L.; Li Z.; Lin Q.","Zhao, Gansen (35218519700); Li, Libo (56528605400); Li, Zijing (56528690400); Lin, Qiaoying (56528774900)","35218519700; 56528605400; 56528690400; 56528774900","Multiple nested schema of HBase for migration from SQL","2014","Proceedings - 2014 9th International Conference on P2P, Parallel, Grid, Cloud and Internet Computing, 3PGCIC 2014","","","7024606","338","343","20","10.1109/3PGCIC.2014.127","https://www.scopus.com/pages/publications/84946691847?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84946691847"
"Gillet A.; Leclercq É.","Gillet, Annabelle (57211598197); Leclercq, Éric (55915127500)","57211598197; 55915127500","CDMiA: Revealing Impacts of Data Migrations on Schemas in Multi-model Systems","2024","Lecture Notes in Business Information Processing","520 LNBIP","","","120","128","1","10.1007/978-3-031-61000-4_14","https://www.scopus.com/pages/publications/85195575253?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85195575253"
"Lee C.-H.; Zheng Y.-L.","Lee, Chao-Hsien (7410144331); Zheng, Yu-Lin (57148899200)","7410144331; 57148899200","SQL-To-NoSQL Schema Denormalization and Migration: A Study on Content Management Systems","2016","Proceedings - 2015 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2015","","","7379485","2022","2026","34","10.1109/SMC.2015.353","https://www.scopus.com/pages/publications/84964515384?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84964515384"
"Störl U.; Klettke M.; Scherzinger S.","Störl, Uta (23037278500); Klettke, Meike (16039653400); Scherzinger, Stefanie (16317498000)","23037278500; 16039653400; 16317498000","NoSQL schema evolution and data migration: State-of-the-art and opportunities","2020","Advances in Database Technology - EDBT","2020-March","","","655","658","29","10.5441/002/edbt.2020.87","https://www.scopus.com/pages/publications/85084180969?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85084180969"
"Hillenbrand A.; Störl U.; Nabiyev S.; Klettke M.","Hillenbrand, Andrea (57210122758); Störl, Uta (23037278500); Nabiyev, Shamil (57217014907); Klettke, Meike (16039653400)","57210122758; 23037278500; 57217014907; 16039653400","Self-adapting data migration in the context of schema evolution in NoSQL databases","2022","Distributed and Parallel Databases","40","1","","5","25","14","10.1007/s10619-021-07334-1","https://www.scopus.com/pages/publications/85105190738?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85105190738"
"Ma K.; Dong F.","Ma, Kun (36761221300); Dong, Fusen (56367896200)","36761221300; 56367896200","Live data migration approach from relational tables to schema-free collections with MapReduce","2015","International Journal of Services, Technology and Management","21","4-6","","318","335","8","10.1504/IJSTM.2015.073942","https://www.scopus.com/pages/publications/84953388626?origin=resultslist","Article","Final","","Scopus","2-s2.0-84953388626"
"Hu J.; Fan D.; Li D.; Yan L.; Ye X.","Hu, Jiuchuan (7406417295); Fan, Dongrui (12782252600); Li, Danping (57194045658); Yan, Long (57194031546); Ye, Xiaochun (7401898954)","7406417295; 12782252600; 57194045658; 57194031546; 7401898954","A Percolation Data Migration Schema in a hybrid Cache Hierarchy","2017","2016 7th International Green and Sustainable Computing Conference, IGSC 2016","","","7892590","","","0","10.1109/IGCC.2016.7892590","https://www.scopus.com/pages/publications/85018418897?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85018418897"
"Bozzato L.; Serafini L.","Bozzato, Loris (35733304600); Serafini, Luciano (7005585409)","35733304600; 7005585409","Ontology-Mediated Data Migration: Deriving Migration Rules by Reasoning on Schema Descriptions","2023","Proceedings of the ACM Symposium on Applied Computing","","","","1724","1731","0","10.1145/3555776.3577616","https://www.scopus.com/pages/publications/85162891199?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85162891199"
