key;EID;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
books/sp/18/AtzeniCT18;2-s2.0-85080097805;Data Modeling Across the Evolution of Database Technology.;Paolo Atzeni, Luca Cabibbo, Riccardo Torlone;2018;A Comprehensive Guide Through the Italian Database Research;Parts in Books or Collections;https://dblp.org/rec/books/sp/18/AtzeniCT18;https://doi.org/10.1007/978-3-319-61893-7_13;221-234;;;;;10.1007/978-3-319-61893-7_13
conf/3pgcic/ZhaoLLL14;2-s2.0-84946691847;Multiple Nested Schema of HBase for Migration from SQL.;Gansen Zhao, Libo Li, Zijing Li, Qiaoying Lin;2014;3PGCIC;Conference and Workshop Papers;https://dblp.org/rec/conf/3pgcic/ZhaoLLL14;https://doi.org/10.1109/3PGCIC.2014.127;338-343;;;;;10.1109/3PGCIC.2014.127
conf/ACMse/Islam12;2-s2.0-84862694194;Performance comparison of consistency maintenance techniques for cloud database.;Md. Ashfakul Islam;2012;ACM Southeast Regional Conference;Conference and Workshop Papers;https://dblp.org/rec/conf/ACMse/Islam12;https://doi.org/10.1145/2184512.2184624;399-400;;;;;10.1145/2184512.2184624
conf/acsac/ZhouQWY24;2-s2.0-105001260235;Enhancing Database Encryption: Adaptive Measures for Digital Assets Against LLMs-Based Reverse Engineering.;Kerou Zhou, Jiakang Qiu, Yuehua Wang, Xiaojun Ye;2024;ACSAC;Conference and Workshop Papers;https://dblp.org/rec/conf/acsac/ZhouQWY24;https://doi.org/10.1109/ACSAC63791.2024.00018;Ιαν-14;;;;;10.1109/ACSAC63791.2024.00018
conf/acsc/AnamKKL16;2-s2.0-84962618076;Adapting a knowledge-based schema matching system for ontology mapping.;Sarawat Anam, Yang Sok Kim, Byeong Ho Kang , Qing Liu;2016;ACSW;Conference and Workshop Papers;https://dblp.org/rec/conf/acsc/AnamKKL16;https://doi.org/10.1145/2843043.2843048;27;;;;;10.1145/2843043.2843048
conf/acsc/MullerBKP14;2-s2.0-85002558633;An Adaptive Aggregate Maintenance Approach for Mixed Workloads in Columnar In-Memory Databases.;Stephan Müller , Lars Butzmann, Stefan Klauck, Hasso Plattner;2014;ACSC;Conference and Workshop Papers;https://dblp.org/rec/conf/acsc/MullerBKP14;http://crpit.scem.westernsydney.edu.au/abstracts/CRPITV147Muller.html;3-Δεκ;;;;;
conf/adbis/HamrouniBB14;2-s2.0-84906691094;An Efficient Approach for Detecting and Repairing Data Inconsistencies Resulting from Retroactive Updates in Multi-temporal and Multi-version XML Databases.;Hind Hamrouni, Zouhaier Brahmia, Rafik Bouaziz;2014;ADBIS;Conference and Workshop Papers;https://dblp.org/rec/conf/adbis/HamrouniBB14;https://doi.org/10.1007/978-3-319-10518-5_11;135-146;;;;;10.1007/978-3-319-10518-5_11
conf/adbis/HerrmannVBL15;2-s2.0-84944599941;CoDEL - A Relationally Complete Language for Database Evolution.;Kai Herrmann , Hannes Voigt, Andreas Behrend, Wolfgang Lehner;2015;ADBIS;Conference and Workshop Papers;https://dblp.org/rec/conf/adbis/HerrmannVBL15;https://doi.org/10.1007/978-3-319-23135-8_5;63-76;;;;;10.1007/978-3-319-23135-8_5
conf/adbis/JannaschkJT14;2-s2.0-84906690417;Technologies for Databases Change Management.;Kai Jannaschk, Hannu Jaakkola, Bernhard Thalheim;2014;ADBIS;Conference and Workshop Papers;https://dblp.org/rec/conf/adbis/JannaschkJT14;https://doi.org/10.1007/978-3-319-10518-5_21;271-285;;;;;10.1007/978-3-319-10518-5_21
conf/adbis/Subotic14;2-s2.0-84906708379;Data Warehouse Schema Evolution Perspectives.;Danijela Subotic;2014;ADBIS;Conference and Workshop Papers;https://dblp.org/rec/conf/adbis/Subotic14;https://doi.org/10.1007/978-3-319-10518-5_26;333-338;;;;;10.1007/978-3-319-10518-5_26
