EID;DataModel;Method;Topic;DM description;Method description;Topic description;Comment;Authors;AuthorFullNames;AuthorIDs;Title;Year;SourceTitle;Volume;Issue;ArtNo;PageStart;PageEnd;citedBy;doi_lowercase;DOI;Link;DocumentTypeSCOPUS;PublicationStage;OpenAccess;SourceSCOPUS
2-s2.0-105002927495;;;;;;;;Hareesh R., Sethukarasi T.;Hareesh, R. (57480886300) | Sethukarasi, T. (56884807400);57480886300 | 56884807400;Migration Technique from Traditional Database to Blockchain Database;2024;2024 International Conference on Integration of Emerging Technologies for the Digital World, ICIETDW 2024;;;;;;;10.1109/icietdw61607.2024.10941500;10.1109/ICIETDW61607.2024.10941500;https://www.scopus.com/pages/publications/105002927495?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-105018462172;307;421;635;307: Model-Independent;421: Algorithm (fully automated);635: Guaranteeing the zerodowntime of the evolution of a working system;A theoretical framework for schema evolution in distributed databases using graphs and consistency modeling and proposing protocols.;Hazarika A.V., Banerjee M.;Hazarika, Akaash Vishal (59734127800) | Banerjee, Monojit (59761707200);59734127800 | 59761707200;Zero-Downtime Schema Evolution in Distributed Databases: A Theoretical Framework;2025;2025 IEEE International Conference on Computer, Electronics, Electrical Engineering and their Applications, IC2E3 2025;;;;;;;10.1109/ic2e365635.2025.11167401;10.1109/IC2E365635.2025.11167401;https://www.scopus.com/pages/publications/105018462172?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-105022259089;;;;;;;;Dharmajee Rao D.T.V., Vidyadhari C., Barathy R., Afzal M., Sargari S., Anakath A.S.;Dharmajee Rao, D.T.V. (57203042393) | Vidyadhari, Ch. (57208145820) | Barathy, R. (57216789618) | Afzal, Md (59243692600) | Sargari, Shilpa (59595885100) | Anakath, A.S. (57195713425);57203042393 | 57208145820 | 57216789618 | 59243692600 | 59595885100 | 57195713425;Neuro-Symbolic AI-Driven Data Warehouses: Self-Learning Architectures for Dynamic Schema Evolution and Adaptive Query Optimization;2025;2025 International Conference on Metaverse and Current Trends in Computing, ICMCTC 2025;;;;;;;10.1109/icmctc62214.2025.11196455;10.1109/ICMCTC62214.2025.11196455;https://www.scopus.com/pages/publications/105022259089?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-105022936825;;;;;;;;Malyi R., Serdyuk P.;Malyi, Roman (59389436500) | Serdyuk, Pavlo (24480109100);59389436500 | 24480109100;DEVELOPMENT OF A RULE-BASED LLM PROMPTING METHOD FOR HIGH-ACCURACY EVENT-SCHEMA EVOLUTION;2025;Technology Audit and Production Reserves;5;2;;13;19;;10.15587/2706-5448.2025.342365;10.15587/2706-5448.2025.342365;https://www.scopus.com/pages/publications/105022936825?origin=resultslist;Article;Final;All Open Access | Gold Open Access;Scopus
2-s2.0-105026657119;;;;;;;;Toufik F., Aouragh A.A., Khalil A.;Toufik, Fouad (57189489609) | Aouragh, Abd Allah (58064806000) | Khalil, Abdelhak (57221763785);57189489609 | 58064806000 | 57221763785;AI-Assisted Schema Translation and Verified Migration: From Object-Relational Models to NoSQL Document-Oriented Stores;2025;International Journal of Advanced Computer Science and Applications;16;11;;;;;10.14569/ijacsa.2025.0161194;10.14569/IJACSA.2025.0161194;https://www.scopus.com/pages/publications/105026657119?origin=resultslist;Article;Final;All Open Access | Gold Open Access;Scopus
2-s2.0-105030447085;;;;;;;;Belefqih S., Barchane M., Zellou A., Doumi K., Benlahmar E.;Belefqih, Saad (59243849800) | Barchane, Mohammed (59900497800) | Zellou, Ahmed (59511542700) | Doumi, Karim (53363495600) | Benlahmar, Elhabib (59996143400);59243849800 | 59900497800 | 59511542700 | 53363495600 | 59996143400;Reinforcement Learning for Dynamic RDF Schema Evolution in NoSQL Databases;2025;SITA 2025 - 15th International Conference on Intelligent Systems: Theories and Applications;;;;;;;10.1109/sita67914.2025.11273715;10.1109/SITA67914.2025.11273715;https://www.scopus.com/pages/publications/105030447085?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-105031555192;;;;;;;;Mohanty M.R., Rao S.K., Agrawal S.K., Zakhmi K., Melath V., Kasralikar P.;Mohanty, Manas Ranjan (60430112400) | Rao, Shyamsunder Kakatum (60430112500) | Agrawal, Sachin Kumar (60203765700) | Zakhmi, Kanwarjyt (60430843800) | Melath, Vinesh (60430297200) | Kasralikar, Pratik (60430662700);60430112400 | 60430112500 | 60203765700 | 60430843800 | 60430297200 | 60430662700;AI in Database Modernization: Streamlining On-Prem to Babelfish Aurora PostgreSQL Migrations;2025;2025 International Conference on Sustainability, Innovation and Technology, ICSIT 2025;;;;;;;10.1109/icsit65336.2025.11295140;10.1109/ICSIT65336.2025.11295140;https://www.scopus.com/pages/publications/105031555192?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-105032726317;;;;;;;;Malyi R., Serdyuk P.;Malyi, Roman (59389436500) | Serdyuk, Pavlo (24480109100);59389436500 | 24480109100;Large Language Models for Schema Evolution in Event-Sourced Systems;2025;Proceedings of the IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS;;;;1037;1041;;10.1109/idaacs68557.2025.11321978;10.1109/IDAACS68557.2025.11321978;https://www.scopus.com/pages/publications/105032726317?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-105035352174;;;;;;;;Santoso F.B.L.A., Hartono L.V.T.;Santoso, Flavia Beatrix Leoni Antoinette (60571258000) | Hartono, Laksamana Vixell Tanjaya (59469659700);60571258000 | 59469659700;Development of Migration Tool from Relational Database to Document - Oriented NoSQL Database Utilizing Relational Database Logs;2025;2025 International Conference on ICT for Smart Society, ICISS 2025;;;;;;;10.1109/iciss66954.2025.11389604;10.1109/ICISS66954.2025.11389604;https://www.scopus.com/pages/publications/105035352174?origin=resultslist;Conference paper;Final;;Scopus
2-s2.0-84861842424;307;422;646;307: Model-Independent;422: Method (not fully automated);646: Data migration virtually via query/view rewriting;Upgrade Saas storage schemas using metadata and query rewriting;Liu H., Wu S.;Liu, Hui (59058723000) | Wu, Shengqi (36810707400);59058723000 | 36810707400;Data storage schema upgrade via metadata evolution in SaaS;2012;2012 2nd International Conference on Consumer Electronics, Communications and Networks, CECNet 2012 - Proceedings;;;6201658;3148;3151;;10.1109/cecnet.2012.6201658;10.1109/CECNet.2012.6201658;https://www.scopus.com/pages/publications/84861842424?origin=resultslist;Conference paper;Final;;Scopus
