key;Source;In Corpus;DM_R1;DM_R2;DM_R3;DataModel;DataModel description;M_R1;M_R2;M_R3;Method;Method description;T_R1;T_R2;T_R3;Topic;Topic description;Comment1;Comment2;Comment3;EID;title;authors;year;venue;type;link;volume;number;doi
conf/apnoms/ChenJHL12;DBLP;Y;;302;302;302;302: Relational;;431;431;431;431: Tool;;661;661;661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;;Tool for schema evolution and data migration for databases for web-based applications;(Zero downtime schema evolution) System architecture to seamlessly migrate data during schema evolution;;Design and implementation of database schema evolution for service continuity of web-based internet applications.;Yi-Chang Chen, Jeu-Yih Jeng, Teh-Sheng Huang, Phone Lin;2012;APNOMS;Conference and Workshop Papers;https://doi.org/10.1109/APNOMS.2012.6356090;;;10.1109/APNOMS.2012.6356090
conf/comad/NeamtiuBULB13;DBLP;Y;;302;302;302;302: Relational;;432;432;432;432: DBMS internal mechanism;;635;635;635;635: Guaranteeing the zerodowntime of the evolution of a working system;;Mechanism for on the fly-schema updates;(Schema update mechanisms) Method and system for schema update without application downtime;;Improving Cloud Availability with On-the-fly Schema Updates.;Iulian Neamtiu, Jonathan Bardin, Md. Reaz Uddin, Dien-Yen Lin, Pamela Bhattacharya;2013;COMAD;Conference and Workshop Papers;http://comad.in/comad2013/pdfs/neamtiu.pdf;;;
conf/edbt/BeineHWC14;DBLP;Y;;302;302;302;302: Relational;;411;411;411;411: Algebra;;678;611;678, 611;"678: Handling of schema mappings among any two schemata
611: SMOs/Languages/Rigorous Models for schema evolution";;Algebra, language and tool for schema mapping across different versions;Framework for adaptation of data access to different schema versions;;"Bidirectional Transformations in Database Evolution: A Case Study &quot;At Scale&quot;.";Mathieu Beine, Nicolas Hames, Jens H. Weber, Anthony Cleve;2014;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-1133/paper-16.pdf;;;
conf/edbt/StorlK22;DBLP;Y;305;;305;305;305: NoSQL (Graph/ JSON/Key-Value/Other);431;;431;431;431: Tool;646, 645;;645, 674;674, 645, 646;"674: Reverse engineering /extraction of the entire history of a schema
645: Data migration strategy determination
646: Data migration virtually via query/view rewriting";;;Presentation of Darwin an integrated tool for schema and data migration in NoSQL dbs;;Darwin: A Data Platform for Schema Evolution Management and Data Migration.;Uta Störl, Meike Klettke;2022;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-3135/dataplat_short3.pdf;;;
conf/emisa/ChiaoKR14;DBLP;Y;;309;309;309;309: Other;;401;401;401;401: General Framework;;631, 622;622;631, 622;"631: Guaranteeing the correctness/validity of schema and application code coevolution
622: Impact to external source code when the logical schema changes";;framework for schema and workflow co-evolution;Process definitions, General Framework (sets requirements for schema evolution;;Towards schema evolution in object-aware process management systems.;Carolina Ming Chiao, Vera Künzle, Manfred Reichert;2014;EMISA;Conference and Workshop Papers;https://dl.gi.de/handle/20.500.12116/3040;;;
conf/gvd/NosingerKH13;DBLP;Y;;303;303;303;303: XML;;401, 431;431;401, 431;"401: General Framework
431: Tool";;678;641, 678;678;678: Handling of schema mappings among any two schemata;;Conceptual framework simplifying XSD and tool for evolving XML schemata;(Schema mapping) MOdel and tool for representing XML schemata, method for change propagation from model to documents;;A Conceptual Model for the XML Schema Evolution.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2013;Grundlagen von Datenbanken;Conference and Workshop Papers;https://ceur-ws.org/Vol-1020/paper_05.pdf;;;
conf/icdim/CastelltortL13;DBLP;Y;;305;305;305;305: NoSQL (Graph/ JSON/Key-Value/Other);;421;421;421;421: Algorithm (fully automated);;677;677;677;677: Schema version management techniques;;Schema mappings among schema versions for graph data;(algebra?)(Graph db, Method for schema versioning in a graph database;;Representing history in graph-oriented NoSQL databases: A versioning system.;Arnaud Castelltort, Anne Laurent;2013;ICDIM;Conference and Workshop Papers;https://doi.org/10.1109/ICDIM.2013.6694022;;;10.1109/ICDIM.2013.6694022
conf/isdevel/PolakMP12;DBLP;Y;;303;303;303;303: XML;;422;411, 431;411, 422;"411: Algebra
422: Method (not fully automated)";;633;633, 672;633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;;Method for adapting queries for evolving XML schemata;(XPath Query adaptation) Adapt XPath queries based on changes to XML schema, primitive operations for query adaptation;;XML Query Adaptation as Schema Evolves.;Marek Polák, Irena Mlýnková, Eric Pardede;2012;ISD;Conference and Workshop Papers;https://doi.org/10.1007/978-1-4614-7540-8_31;;;10.1007/978-1-4614-7540-8_31
conf/issta/0003D13;DBLP;Y;;302;302;302;302: Relational;;422;422;422;422: Method (not fully automated);;631;622, 631;622, 631;"622: Impact to external source code when the logical schema changes
631: Guaranteeing the correctness/validity of schema and application code coevolution";;Method on how to select test cases to test whether source code is inconsistent with schema;Test case prioritization based on schema evolution;;Early detection of faults related to database schematic changes.;Deepak Garg , Amitava Datta;2013;JAMAICA@ISSTA;Conference and Workshop Papers;https://doi.org/10.1145/2489280.2489283;;;10.1145/2489280.2489283
conf/lwa/MollerKS19;DBLP;Y;305;305;;305;305: NoSQL (Graph/ JSON/Key-Value/Other);401, 411;411, 401;;411, 401;"411: Algebra
401: General Framework";611;611;;611;611: SMOs/Languages/Rigorous Models for schema evolution;SMOs?;Conceptual framework, algebra and data migration methods for different cases of NoSQL evolution;;;Keeping NoSQL Databases Up to Date - Semantics of Evolution Operations and their Impact on Data Quality.;Mark Lukas Möller, Meike Klettke, Uta Störl;2019;LWDA;Conference and Workshop Papers;https://ceur-ws.org/Vol-2454/paper_19.pdf;;;
