key;Source;DataModel;DataModel description;Method;Method description;Topic;Topic description;EID;title;authors;year;venue;type;link;volume;number;doi
conf/apnoms/ChenJHL12;DBLP;302;302: Relational;431;431: Tool;661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;;Design and implementation of database schema evolution for service continuity of web-based internet applications.;Yi-Chang Chen, Jeu-Yih Jeng, Teh-Sheng Huang, Phone Lin;2012;APNOMS;Conference and Workshop Papers;https://doi.org/10.1109/APNOMS.2012.6356090;;;10.1109/APNOMS.2012.6356090
conf/comad/NeamtiuBULB13;DBLP;302;302: Relational;432;432: DBMS internal mechanism;635;635: Guaranteeing the zerodowntime of the evolution of a working system;;Improving Cloud Availability with On-the-fly Schema Updates.;Iulian Neamtiu, Jonathan Bardin, Md. Reaz Uddin, Dien-Yen Lin, Pamela Bhattacharya;2013;COMAD;Conference and Workshop Papers;http://comad.in/comad2013/pdfs/neamtiu.pdf;;;
conf/edbt/BeineHWC14;DBLP;302;302: Relational;411;411: Algebra;678, 611;"678: Handling of schema mappings among any two schemata
611: SMOs/Languages/Rigorous Models for schema evolution";;"Bidirectional Transformations in Database Evolution: A Case Study &quot;At Scale&quot;.";Mathieu Beine, Nicolas Hames, Jens H. Weber, Anthony Cleve;2014;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-1133/paper-16.pdf;;;
conf/edbt/StorlK22;DBLP;305;305: NoSQL (Graph/ JSON/Key-Value/Other);431;431: Tool;674, 645, 646;"674: Reverse engineering /extraction of the entire history of a schema
645: Data migration strategy determination
646: Data migration virtually via query/view rewriting";;Darwin: A Data Platform for Schema Evolution Management and Data Migration.;Uta Störl, Meike Klettke;2022;EDBT/ICDT Workshops;Conference and Workshop Papers;https://ceur-ws.org/Vol-3135/dataplat_short3.pdf;;;
conf/emisa/ChiaoKR14;DBLP;309;309: Other;401;401: General Framework;631, 622;"631: Guaranteeing the correctness/validity of schema and application code coevolution
622: Impact to external source code when the logical schema changes";;Towards schema evolution in object-aware process management systems.;Carolina Ming Chiao, Vera Künzle, Manfred Reichert;2014;EMISA;Conference and Workshop Papers;https://dl.gi.de/handle/20.500.12116/3040;;;
conf/gvd/NosingerKH13;DBLP;303;303: XML;401, 431;"401: General Framework
431: Tool";678;678: Handling of schema mappings among any two schemata;;A Conceptual Model for the XML Schema Evolution.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2013;Grundlagen von Datenbanken;Conference and Workshop Papers;https://ceur-ws.org/Vol-1020/paper_05.pdf;;;
conf/icdim/CastelltortL13;DBLP;305;305: NoSQL (Graph/ JSON/Key-Value/Other);421;421: Algorithm (fully automated);677;677: Schema version management techniques;;Representing history in graph-oriented NoSQL databases: A versioning system.;Arnaud Castelltort, Anne Laurent;2013;ICDIM;Conference and Workshop Papers;https://doi.org/10.1109/ICDIM.2013.6694022;;;10.1109/ICDIM.2013.6694022
conf/isdevel/PolakMP12;DBLP;303;303: XML;411, 422;"411: Algebra
422: Method (not fully automated)";633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;;XML Query Adaptation as Schema Evolves.;Marek Polák, Irena Mlýnková, Eric Pardede;2012;ISD;Conference and Workshop Papers;https://doi.org/10.1007/978-1-4614-7540-8_31;;;10.1007/978-1-4614-7540-8_31
conf/issta/0003D13;DBLP;302;302: Relational;422;422: Method (not fully automated);622, 631;"622: Impact to external source code when the logical schema changes
631: Guaranteeing the correctness/validity of schema and application code coevolution";;Early detection of faults related to database schematic changes.;Deepak Garg , Amitava Datta;2013;JAMAICA@ISSTA;Conference and Workshop Papers;https://doi.org/10.1145/2489280.2489283;;;10.1145/2489280.2489283
conf/lwa/MollerKS19;DBLP;305;305: NoSQL (Graph/ JSON/Key-Value/Other);411, 401;"411: Algebra
401: General Framework";611;611: SMOs/Languages/Rigorous Models for schema evolution;;Keeping NoSQL Databases Up to Date - Semantics of Evolution Operations and their Impact on Data Quality.;Mark Lukas Möller, Meike Klettke, Uta Störl;2019;LWDA;Conference and Workshop Papers;https://ceur-ws.org/Vol-2454/paper_19.pdf;;;
