"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Iglesias-Rivas P.; Del Amparo R.; Cabaleiro J.A.; Arenas M.","Iglesias-Rivas, Paula (60071960900); Del Amparo, Roberto (57184368100); Cabaleiro, Javier A. (60112671800); Arenas, Miguel (23468840800)","60071960900; 57184368100; 60112671800; 23468840800","Empirical substitution models of protein evolution: database, relationships, and modeling considerations","2025","Database","2025","","baaf052","","","2","10.1093/database/baaf052","https://www.scopus.com/pages/publications/105016909184?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105016909184"
"Chillon A.H.; Klettke M.; Ruiz D.S.; Molina J.G.","Chillon, Alberto Hernandez (57210847843); Klettke, Meike (16039653400); Ruiz, Diego Sevilla (57221114969); Molina, Jesus Garcia (15125412100)","57210847843; 16039653400; 57221114969; 15125412100","A Generic Schema Evolution Approach for NoSQL and Relational Databases","2024","IEEE Transactions on Knowledge and Data Engineering","36","7","","2774","2789","13","10.1109/TKDE.2024.3362273","https://www.scopus.com/pages/publications/85184819638?origin=resultslist","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85184819638"
"Willson I.A.","Willson, Ian A. (58349676300)","58349676300","The evolution of the massively parallel processing database in support of visual analytics","2013","Managing Information Resources and Technology: Emerging Applications and Theories","","","","212","237","2","10.4018/978-1-4666-3616-3.ch015","https://www.scopus.com/pages/publications/84944075639?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-84944075639"
"Tang J.; Zhang H.; Zhang H.; Zhu H.","Tang, Ji (57885997200); Zhang, Huanlin (58176827700); Zhang, Hai (55685609400); Zhu, Hao (56270497300)","57885997200; 58176827700; 55685609400; 56270497300","PopTradeOff: A database for exploring population-specificity of adaptive evolution, disease susceptibility, and drug responsiveness","2023","Computational and Structural Biotechnology Journal","21","","","3443","3451","1","10.1016/j.csbj.2023.06.008","https://www.scopus.com/pages/publications/85163526211?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85163526211"
"Schuler R.; Kesselman C.","Schuler, Robert (14834460100); Kesselman, Carl (7003652822)","14834460100; 7003652822","CHiSEL: a user-oriented framework for simplifing database evolution","2021","Distributed and Parallel Databases","39","2","","483","543","3","10.1007/s10619-020-07314-x","https://www.scopus.com/pages/publications/85094139652?origin=resultslist","Article","Final","","Scopus","2-s2.0-85094139652"
"Schuler R.E.; Kessleman C.","Schuler, Robert E. (14834460100); Kessleman, Carl (7003652822)","14834460100; 7003652822","A High-level User-oriented Framework for Database Evolution","2019","ACM International Conference Proceeding Series","","","","157","168","5","10.1145/3335783.3335787","https://www.scopus.com/pages/publications/85071260825?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85071260825"
"Grolinger K.; Capretz M.A.M.","Grolinger, Katarina (36600134200); Capretz, Miriam A.M. (6602631556)","36600134200; 6602631556","A unit test approach for database schema evolution","2011","Information and Software Technology","53","2","","159","170","2","10.1016/j.infsof.2010.10.002","https://www.scopus.com/pages/publications/78751575316?origin=resultslist","Article","Final","","Scopus","2-s2.0-78751575316"
"Moncao A.C.B.L.; Camilo C.G.; Queiroz L.T.; Rodrigues C.L.; De Sa Leitao P.; Vincenzik A.M.R.","Moncao, Ana Claudia B. Loureiro (55822261900); Camilo, Celso G. (26421044900); Queiroz, Leonardo T. (55822746800); Rodrigues, Cassio L. (8340882000); De Sa Leitao, Plinio (14052021100); Vincenzik, Auri M.R. (55822801200)","55822261900; 26421044900; 55822746800; 8340882000; 14052021100; 55822801200","Shrinking a database to perform SQL mutation tests using an evolutionary algorithm","2013","2013 IEEE Congress on Evolutionary Computation, CEC 2013","","","6557874","2533","2539","7","10.1109/CEC.2013.6557874","https://www.scopus.com/pages/publications/84881606093?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84881606093"
"Laishevskiy I.; Barger A.; Gorgadze V.","Laishevskiy, Ivan (58153871700); Barger, Artem (50361052700); Gorgadze, Vladimir (58154295600)","58153871700; 50361052700; 58154295600","Uncovering the Perfect Scalable Database for Hyperledger Fabric's Evolution","2023","2023 IEEE International Conference on Omni-Layer Intelligent Systems, COINS 2023","","","","","","1","10.1109/COINS57856.2023.10189331","https://www.scopus.com/pages/publications/85167868003?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85167868003"
"Hillenbrand A.; Störl U.; Nabiyev S.; Klettke M.","Hillenbrand, Andrea (57210122758); Störl, Uta (23037278500); Nabiyev, Shamil (57217014907); Klettke, Meike (16039653400)","57210122758; 23037278500; 57217014907; 16039653400","Self-adapting data migration in the context of schema evolution in NoSQL databases","2022","Distributed and Parallel Databases","40","1","","5","25","14","10.1007/s10619-021-07334-1","https://www.scopus.com/pages/publications/85105190738?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85105190738"
