"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Ulyanova S.; Sinepol V.","Ulyanova, Svetlana (56538699400); Sinepol, Vladislav (57215276921)","56538699400; 57215276921","Toolbox for Historical and Biographical Research (Prosopographic Databases on Russian History)","2015","Proceedings - 3rd International Conference on Computer Technology in Russia and in the Former Soviet Union, SoRuCom 2014","","","7032983","183","186","2","10.1109/SoRuCom.2014.47","https://www.scopus.com/pages/publications/84924098258?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84924098258"
"Nagakura T.; Tsai D.; Choi J.","Nagakura, Takehiko (15819787000); Tsai, Daniel (57223886046); Choi, Joshua (57223887675)","15819787000; 57223886046; 57223887675","Capturing History Bit by Bit: Architectural Database of Photogrammetric Model and Panoramic Video","2015","Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe","1","","","685","694","8","","https://www.scopus.com/pages/publications/84973525080?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84973525080"
"Levasseur A.; Paganini J.; Dainat J.; Thompson J.D.; Poch O.; Pontarotti P.; Gouret P.","Levasseur, Anthony (56276834700); Paganini, Julien (55255667800); Dainat, Jacques (55255584600); Thompson, Julie D. (57192665734); Poch, Olivier (7003583220); Pontarotti, Pierre (7005372153); Gouret, Philippe (8908193600)","56276834700; 55255667800; 55255584600; 57192665734; 7003583220; 7005372153; 8908193600","The chordate proteome history database","2012","Evolutionary Bioinformatics","2012","8","","437","447","5","10.4137/EBO.S9186","https://www.scopus.com/pages/publications/84864829351?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84864829351"
"Ward R.","Ward, Rebekah (58102163900)","58102163900","Building a book history database: A novice voice","2024","Digital Humanities in the India Rim: Contemporary Scholarship in Australia and India","","","","147","172","0","10.11647/OBP.0423.08","https://www.scopus.com/pages/publications/85212806750?origin=resultslist","Book chapter","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85212806750"
"Yang X.; Menzies T.","Yang, Xueqi (57219523582); Menzies, Tim (7003835495)","57219523582; 7003835495","Documenting Evidence of a Replication of 'Populating a Release History Database from Version Control and Bug Tracking Systems'","2021","ESEC/FSE 2021 - Proceedings of the 29th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering","","","","1601","","0","10.1145/3468264.3477218","https://www.scopus.com/pages/publications/85116296710?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85116296710"
"Mull C.G.; Pacoureau N.; Pardo S.A.; Ruiz L.S.; García-Rodríguez E.; Finucci B.; Haack M.; Harry A.; Judah A.B.; VanderWright W.; Yin J.S.; Kindsvater H.K.; Dulvy N.K.","Mull, Christopher G. (24832163100); Pacoureau, Nathan (57193672572); Pardo, Sebastián A. (54883711700); Ruiz, Luz Saldaña (57892235700); García-Rodríguez, Emiliano (57192690746); Finucci, Brittany (57191157018); Haack, Max (57892191700); Harry, Alastair (36537077200); Judah, Aaron B. (56104693300); VanderWright, Wade (57221648300); Yin, Jamie S. (57211949115); Kindsvater, Holly K. (16301281100); Dulvy, Nicholas K. (6701844802)","24832163100; 57193672572; 54883711700; 57892235700; 57192690746; 57191157018; 57892191700; 36537077200; 56104693300; 57221648300; 57211949115; 16301281100; 6701844802","Sharkipedia: a curated open access database of shark and ray life history traits and abundance time-series","2022","Scientific Data","9","1","559","","","22","10.1038/s41597-022-01655-1","https://www.scopus.com/pages/publications/85138128620?origin=resultslist","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85138128620"
"Jensen C.S.; Snodgrass R.T.","Jensen, Christian S. (35453638700); Snodgrass, Richard T. (7006511327)","35453638700; 7006511327","History in Temporal Databases","2018","Encyclopedia of Database Systems: Second Edition","","","","1719","1720","1","10.1007/978-1-4614-8265-9_1415","https://www.scopus.com/pages/publications/105012655114?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105012655114"
"Berens K.I","Berens, Kathi Inman (56347405400)","56347405400","Judy Malloy's seat at the (database) table: A feminist reception history of early hypertext literature","2014","Literary and Linguistic Computing","29","3","fqu037","340","348","4","10.1093/llc/fqu037","https://www.scopus.com/pages/publications/84906858216?origin=resultslist","Article","Final","","Scopus","2-s2.0-84906858216"
"Xie Q.","Xie, Qiang (55211258100)","55211258100","The establishment of the database of mathematics history","2013","Advances in Intelligent Systems and Computing","191 AISC","","","369","374","0","10.1007/978-3-642-33030-8_60","https://www.scopus.com/pages/publications/84868293368?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84868293368"
"Al-Khoury A.; Hussein S.A.; Abdulwhab M.; Aljuboori Z.M.; Haddad H.; Ali M.A.; Abed I.A.; Flayyih H.H.","Al-Khoury, Abeer (57191762989); Hussein, Sahraa Anwer (57904069100); Abdulwhab, Muthana (57904069200); Aljuboori, Zainab M. (57394359000); Haddad, Hossam (57205222306); Ali, Mostafa A. (57211253684); Abed, Ibtihal A. (57211256672); Flayyih, Hakeem Hammood (60059838700)","57191762989; 57904069100; 57904069200; 57394359000; 57205222306; 57211253684; 57211256672; 60059838700","Intellectual Capital History and Trends: A Bibliometric Analysis Using Scopus Database","2022","Sustainability (Switzerland)","14","18","11615","","","90","10.3390/su141811615","https://www.scopus.com/pages/publications/85137666465?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85137666465"
"Costa de Lima L.H.; Penha G.; de Alencar Rocha L.M.; Moro M.M.; Couto da Silva A.P.; Laender A.H.F.; M. de Oliveira J.P.","Costa de Lima, Lucas Henrique (57203136538); Penha, Gustavo (57184186400); de Alencar Rocha, Laís Mota (57195031941); Moro, Mirella M. (7102336257); Couto da Silva, Ana Paula (35182777600); Laender, Alberto H. F. (6701595293); M. de Oliveira, José Palazzo (57195034541)","57203136538; 57184186400; 57195031941; 7102336257; 35182777600; 6701595293; 57195034541","The collaboration network of the Brazilian Symposium on Databases: 30 editions of history","2017","Journal of the Brazilian Computer Society","23","1","10","","","2","10.1186/s13173-017-0059-6","https://www.scopus.com/pages/publications/85024853523?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85024853523"
"Sielaff S.","Sielaff, Steven (58914467800)","58914467800","INTRODUCING THE Texas Oral History DATABASE","2024","Computers in Libraries","44","2","","23","26","0","","https://www.scopus.com/pages/publications/85186450519?origin=resultslist","Note","Final","","Scopus","2-s2.0-85186450519"
