"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Islam Md.A.","Islam, Md. Ashfakul (57214493798)","57214493798","Performance comparison of consistency maintenance techniques for cloud database","2012","Proceedings of the Annual Southeast Conference","","","","399","400","1","10.1145/2184512.2184624","https://www.scopus.com/pages/publications/84862694194?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84862694194"
"Neelavathy Pari S.; Sudharson K.","Neelavathy Pari, S. (36499921000); Sudharson, K. (57220280212)","36499921000; 57220280212","Context-aware Knowledge Base Engineering for Anomaly Detection and Predictive Maintenance in Graph Databases","2025","Cognitive Fairness-Aware Techniques for Human–Machine Interface","","","","139","166","0","10.1201/9781003483144-7","https://www.scopus.com/pages/publications/105025073557?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105025073557"
"Suárez-Cabal M.J.; Suárez-Otero P.; de la Riva C.; Tuya J.","Suárez-Cabal, María José (8444075100); Suárez-Otero, Pablo (57202453352); de la Riva, Claudio (14053780500); Tuya, Javier (6603310027)","8444075100; 57202453352; 14053780500; 6603310027","MDICA: Maintenance of data integrity in column-oriented database applications","2023","Computer Standards and Interfaces","83","","103642","","","8","10.1016/j.csi.2022.103642","https://www.scopus.com/pages/publications/85127755116?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85127755116"
"Abdullah D.; Takahashi H.","Abdullah, Dewan (57193062782); Takahashi, Hironao (56326794200)","57193062782; 56326794200","Innovative High Quality Aircraft Maintenance by Wisdom of Semantic Database Using Historical Data of Operation Staffs","2016","Proceedings - International Conference on Intelligent Systems, Modelling and Simulation, ISMS","0","","7877214","205","210","2","10.1109/ISMS.2016.36","https://www.scopus.com/pages/publications/85017220831?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85017220831"
"Lin C.-W.; Hong T.-P.; Lee H.-Y.; Wang S.-L.","Lin, Chun-Wei (56449520400); Hong, Tzung-Pei (7202830492); Lee, Hong-Yu (55264076800); Wang, Shyue-Liang (7410334302)","56449520400; 7202830492; 55264076800; 7410334302","Maintenance of pre-large FUSP trees in dynamic databases","2011","Proceedings - 2011 2nd International Conference on Innovations in Bio-Inspired Computing and Applications, IBICA 2011","","","6118609","199","202","1","10.1109/IBICA.2011.54","https://www.scopus.com/pages/publications/84862921191?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84862921191"
"Elmi S.; Tobji M.A.B.; Hadjali A.; Yaghlane B.B.","Elmi, Sayda (56492642100); Tobji, Mohamed Anis Bach (33367457000); Hadjali, Allel (6506019648); Yaghlane, Boutheina Ben (6506914797)","56492642100; 33367457000; 6506019648; 6506914797","Efficient skyline maintenance over frequently updated evidential databases","2016","Communications in Computer and Information Science","611","","","199","210","6","10.1007/978-3-319-40581-0_17","https://www.scopus.com/pages/publications/84977090705?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84977090705"
"Zhao S.; Hu H.; Liu Z.; Chen X.","Zhao, Sen (59390532700); Hu, Haibo (8986988800); Liu, Zheli (35115342700); Chen, Xiaofeng (35721744700)","59390532700; 8986988800; 35115342700; 35721744700","SARAs: Substitution and Replay Attacks in the Maintenance Mode of Encrypted Databases","2025","IEEE Transactions on Dependable and Secure Computing","22","6","","7680","7693","0","10.1109/TDSC.2025.3599488","https://www.scopus.com/pages/publications/105013605000?origin=resultslist","Article","Final","","Scopus","2-s2.0-105013605000"
"Chen C.-C.","Chen, Chao-Chen (7501959720)","7501959720","Investigating the quality and maintenance issues of bibliographic records provided by the e-book supply chain: Using the operations of the Taiwan academic e-book & database consortium as an example","2014","Journal of Educational Media and Library Sciences","51","3","","391","410","1","10.6120/JoEMLS.2014.513/0616.RS.AM","https://www.scopus.com/pages/publications/84925440055?origin=resultslist","Article","Final","","Scopus","2-s2.0-84925440055"
"Cho S.; Averbukh R.; Zhang Y.; Carter A.; Jan J.A.","Cho, Sungju (57190488891); Averbukh, Roman (57204778790); Zhang, Yanwei (56098293000); Carter, Andrew (57190486981); Jan, Jane Alam (57190491480)","57190488891; 57204778790; 56098293000; 57190486981; 57190491480","Partial update: Efficient materialized view maintenance in a distributed graph database","2018","Proceedings - IEEE 34th International Conference on Data Engineering, ICDE 2018","","","8509387","1489","1494","4","10.1109/ICDE.2018.00166","https://www.scopus.com/pages/publications/85057139686?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85057139686"
"Darwish M.; Elgohery R.; Badr N.; Faheem H.","Darwish, Mahmoud (57195491309); Elgohery, Rania (26326663300); Badr, Nagwa (6602448188); Faheem, Hossam (57212482180)","57195491309; 26326663300; 6602448188; 57212482180","An efficient incremental maintenance for association rules mining based on distributed databases","2014","Proceedings of 2013 3rd International Conference on Computer Science and Network Technology, ICCSNT 2013","","","6967140","404","408","0","10.1109/ICCSNT.2013.6967140","https://www.scopus.com/pages/publications/84919429582?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84919429582"
"Hanandeh F.; Quasmeh Y.","Hanandeh, Feras (16238394600); Quasmeh, Yaser (55836354600)","16238394600; 55836354600","Generating repair rules for database integrity maintenance","2013","Advances in Intelligent Systems and Computing","224","","","215","224","0","10.1007/978-3-319-00945-2_19","https://www.scopus.com/pages/publications/84883016948?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84883016948"
"Chen W.; Yuan J.; Luo H.","Chen, W. (57204790270); Yuan, J. (59373080600); Luo, H. (23976309500)","57204790270; 59373080600; 23976309500","Design and Development of Heritage Building Information Model (HBIM) Database to Support Maintenance","2022","Proceedings of the 29th EG-ICE International Workshop on Intelligent Computing in Engineering","","","","359","367","1","10.7146/aul.455.c226","https://www.scopus.com/pages/publications/85206851760?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85206851760"
"Zhou Q.; Wang Z.; Zhang J.; Wang J.","Zhou, Qinghua (59509608300); Wang, Zhijian (55880078100); Zhang, Junwei (59509066100); Wang, Jiuzeng (58900241900)","59509608300; 55880078100; 59509066100; 58900241900","Research on the establishment of a highway disease database based on integrated detection and maintenance","2024","Proceedings of SPIE - The International Society for Optical Engineering","13421","","1342127","","","0","10.1117/12.3054756","https://www.scopus.com/pages/publications/85214692314?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85214692314"
"Hairuddin F.I.; Azri S.; Ujang U.","Hairuddin, Farah Ilyana (57928981100); Azri, Suhaibah (56669663600); Ujang, Uznir (57190565279)","57928981100; 56669663600; 57190565279","Unleashing the Potential of Graph Database in Smart Asset Management: Enhancing Predictive Maintenance in Industry 4.0","2024","Lecture Notes in Networks and Systems","906 LNNS","","","11","21","1","10.1007/978-3-031-53824-7_2","https://www.scopus.com/pages/publications/85187656556?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85187656556"
"Song J.; Dong W.; Fu Y.; Wang M.; Liu B.; Ding H.; Liu J.; Song R.","Song, Jinzhou (59476029900); Dong, Wen (59476030000); Fu, Yanlin (59476235500); Wang, Mingqiang (59673429500); Liu, Bao (59673429600); Ding, Hong (59672969500); Liu, Jun (59476235600); Song, Rui (59476132400)","59476029900; 59476030000; 59476235500; 59673429500; 59673429600; 59672969500; 59476235600; 59476132400","Research on Compatibility and Performance Verification Method of Domestic Database for Electronic Operation and Maintenance System Migration","2024","Proceedings - 2024 7th International Conference on Data Science and Information Technology, DSIT 2024","","","","","","0","10.1109/DSIT61374.2024.10881984","https://www.scopus.com/pages/publications/86000251027?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-86000251027"
"Li C.-R.; Lin C.-W.; Gan W.; Hong T.-P.","Li, Ci-Rong (24503574100); Lin, Chun-Wei (56449520400); Gan, Wensheng (56183769400); Hong, Tzung-Pei (7202830492)","24503574100; 56449520400; 56183769400; 7202830492","A modified maintenance algorithm for updating FUSP tree in dynamic database","2014","Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","8481","","","301","310","0","10.1007/978-3-319-07455-9_32","https://www.scopus.com/pages/publications/84958544134?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84958544134"
"Nam Y.; Yoon S.; Lee S.; Shin B.; Chi S.","Nam, Yeonwoo (60373158900); Yoon, Sihoo (58042911900); Lee, Sugyeom (60373455200); Shin, Byounggil (60373159000); Chi, Seokho (15073984400)","60373158900; 58042911900; 60373455200; 60373159000; 15073984400","DATABASE DEVELOPMENT AND REPAIR COST PREDICTION BASED ON INFRASTRUCTURE MAINTENANCE RECORDS","2025","Proceedings of the European Conference on Computing in Construction","","","","","","0","10.35490/EC3.2025.253","https://www.scopus.com/pages/publications/105029463932?origin=resultslist","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105029463932"
"Li Y.; Xu K.; Shao J.; Chi K.","Li, Yanjun (56909021100); Xu, Kaifeng (56489182800); Shao, Jianji (55972156800); Chi, Kaikai (23476774100)","56909021100; 56489182800; 55972156800; 23476774100","Maintenance of wi-fi fingerprint database by crowdsourcing for indoor localization","2015","Communications in Computer and Information Science","501","","","615","624","1","10.1007/978-3-662-46981-1_58","https://www.scopus.com/pages/publications/84948437561?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84948437561"
"Pumjun N.; Kreesuradej W.","Pumjun, Nophadon (56964364000); Kreesuradej, Worapoj (15754321600)","56964364000; 15754321600","Maintenance of multi-level association rules discovery in dynamic database under a change of support threshold","2016","2015 12th International Conference on Fuzzy Systems and Knowledge Discovery, FSKD 2015","","","7382014","618","623","2","10.1109/FSKD.2015.7382014","https://www.scopus.com/pages/publications/84966552747?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84966552747"
"Maiyya S.; Zakhary V.; Agrawal D.; El Abbadi A.","Maiyya, Sujaya (57204841078); Zakhary, Victor (56418446800); Agrawal, Divyakant (35561936700); El Abbadi, Amr (55664132600)","57204841078; 56418446800; 35561936700; 55664132600","Database and distributed computing fundamentals for scalable, faulttolerant, and consistent maintenance of blockchains","2018","Proceedings of the VLDB Endowment","11","12","","2098","2101","22","10.14778/3229863.3229877","https://www.scopus.com/pages/publications/85058883771?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85058883771"
"Klees M.; Evirgen S.","Klees, Marina (57986078100); Evirgen, Safa (57985757400)","57986078100; 57985757400","Building a smart database for predictive maintenance in already implemented manufacturing systems","2022","Procedia Computer Science","204","","","14","21","4","10.1016/j.procs.2022.08.002","https://www.scopus.com/pages/publications/85142882718?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142882718"
