"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Neelavathy Pari S.; Sudharson K.","Neelavathy Pari, S. (36499921000); Sudharson, K. (57220280212)","36499921000; 57220280212","Context-aware Knowledge Base Engineering for Anomaly Detection and Predictive Maintenance in Graph Databases","2025","Cognitive Fairness-Aware Techniques for Human–Machine Interface","","","","139","166","0","10.1201/9781003483144-7","https://www.scopus.com/pages/publications/105025073557?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105025073557"
"Torres G.M.; Bessa A.R.R.; Linhares J.E.B.S.; Silva M.O.; Santos A.V.; Valadao M.D.M.; Menezes V.S.; Mattos E.V.C.U.; Pereira A.M.C.; Silva A.P.; Brito A.C.; Belem R.J.S.; S.f R.; S.s W.; Carvalho C.B.","Torres, Gustavo M. (57221164182); Bessa, Andrey R. R. (57904207300); Linhares, Jose E.B.S. (57904763100); Silva, Mateus O. (57221167230); Santos, Adriel V. (57417307400); Valadao, Myke D.M. (57221164554); Menezes, Vinicius S. (59357493700); Mattos, Edma V.C.U. (57223674375); Pereira, Antonio M.C. (57221165603); Silva, Agemilson P. (57220879558); Brito, Allan C. (59357296300); Belem, Ruan J.S. (15847992500); S.f, Romulo (59357296400); S.s, Waldir (57549951800); Carvalho, Celso B. (36496564700)","57221164182; 57904207300; 57904763100; 57221167230; 57417307400; 57221164554; 59357493700; 57223674375; 57221165603; 57220879558; 59357296300; 15847992500; 59357296400; 57549951800; 36496564700","A Designing Databases Framework for AI Training in Industrial Predictive Maintenance","2024","11th IEEE International Conference on Consumer Electronics - Taiwan, ICCE-Taiwan 2024","","","","263","264","0","10.1109/ICCE-Taiwan62264.2024.10674079","https://www.scopus.com/pages/publications/85205765744?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85205765744"
"Lin C.-W.; Hong T.-P.; Lee H.-Y.; Wang S.-L.","Lin, Chun-Wei (56449520400); Hong, Tzung-Pei (7202830492); Lee, Hong-Yu (55264076800); Wang, Shyue-Liang (7410334302)","56449520400; 7202830492; 55264076800; 7410334302","Maintenance of pre-large FUSP trees in dynamic databases","2011","Proceedings - 2011 2nd International Conference on Innovations in Bio-Inspired Computing and Applications, IBICA 2011","","","6118609","199","202","1","10.1109/IBICA.2011.54","https://www.scopus.com/pages/publications/84862921191?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84862921191"
"Elmi S.; Tobji M.A.B.; Hadjali A.; Yaghlane B.B.","Elmi, Sayda (56492642100); Tobji, Mohamed Anis Bach (33367457000); Hadjali, Allel (6506019648); Yaghlane, Boutheina Ben (6506914797)","56492642100; 33367457000; 6506019648; 6506914797","Efficient skyline maintenance over frequently updated evidential databases","2016","Communications in Computer and Information Science","611","","","199","210","6","10.1007/978-3-319-40581-0_17","https://www.scopus.com/pages/publications/84977090705?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84977090705"
"Zhao S.; Hu H.; Liu Z.; Chen X.","Zhao, Sen (59390532700); Hu, Haibo (8986988800); Liu, Zheli (35115342700); Chen, Xiaofeng (35721744700)","59390532700; 8986988800; 35115342700; 35721744700","SARAs: Substitution and Replay Attacks in the Maintenance Mode of Encrypted Databases","2025","IEEE Transactions on Dependable and Secure Computing","22","6","","7680","7693","0","10.1109/TDSC.2025.3599488","https://www.scopus.com/pages/publications/105013605000?origin=resultslist","Article","Final","","Scopus","2-s2.0-105013605000"
"Muller S.; Butzmann L.; Klauck S.; Plattner H.","Muller, Stephan (55457157800); Butzmann, Lars (55646984600); Klauck, Stefan (56005214200); Plattner, Hasso (35243319100)","55457157800; 55646984600; 56005214200; 35243319100","Workload-aware aggregate maintenance in columnar in-memory databases","2013","Proceedings - 2013 IEEE International Conference on Big Data, Big Data 2013","","","6691699","62","69","4","10.1109/BigData.2013.6691699","https://www.scopus.com/pages/publications/84893287982?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84893287982"
"Darwish M.; Elgohery R.; Badr N.; Faheem H.","Darwish, Mahmoud (57195491309); Elgohery, Rania (26326663300); Badr, Nagwa (6602448188); Faheem, Hossam (57212482180)","57195491309; 26326663300; 6602448188; 57212482180","An efficient incremental maintenance for association rules mining based on distributed databases","2014","Proceedings of 2013 3rd International Conference on Computer Science and Network Technology, ICCSNT 2013","","","6967140","404","408","0","10.1109/ICCSNT.2013.6967140","https://www.scopus.com/pages/publications/84919429582?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84919429582"
"Zhang B.; Lin J.C.-W.; Shao Y.; Fournier-Viger P.; Djenouri Y.","Zhang, Binbin (56293267100); Lin, Jerry Chun-Wei (56449520400); Shao, Yinan (57196322476); Fournier-Viger, Philippe (14048484800); Djenouri, Youcef (55652929600)","56293267100; 56449520400; 57196322476; 14048484800; 55652929600","Maintenance of discovered high average-utility itemsets in dynamic databases","2018","Applied Sciences (Switzerland)","8","5","769","","","21","10.3390/app8050769","https://www.scopus.com/pages/publications/85047058052?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85047058052"
"Holubova I.; Koupil P.; Lu J.","Holubova, Irena (57195429378); Koupil, Pavel (57440016000); Lu, Jiaheng (8395934400)","57195429378; 57440016000; 8395934400","Self-Adapting Design and Maintenance of Multi-Model Databases","2022","ACM International Conference Proceeding Series","","","","9","15","1","10.1145/3548785.3548810","https://www.scopus.com/pages/publications/85139056317?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85139056317"
"Suárez-Otero P.; Suárez-Cabal M.J.; Tuya J.","Suárez-Otero, Pablo (57202453352); Suárez-Cabal, María José (8444075100); Tuya, Javier (6603310027)","57202453352; 8444075100; 6603310027","Verification of the maintenance of logical consistency in Cassandra databases; [Verificación del mantenimiento de la consistencia lógica en bases de datos Cassandra]","2019","Actas de las 24th Jornadas de Ingenieria del Software y Bases de Datos, JISBD 2019","","","","","","4","","https://www.scopus.com/pages/publications/85094685266?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85094685266"
