"10.1093/database/baae087", "Recognition and normalization of multilingual symptom entities using in-domain-adapted BERT models and classification layers.", "Database J. Biol. Databases Curation", "2024", "Fernando Gallego Donoso, Francisco J. Veredas 0001", "journals/biodb/DonosoV24", "Journal Articles"
"10.1093/nar/gkz872", "VDJbase: an adaptive immune receptor genotype and haplotype database.", "Nucleic Acids Res.", "2020", "Aviv Omer, Or Shemesh, Ayelet Peres, Pazit Polak, Adrian J. Shepherd, Corey T. Watson, Scott D. Boyd, Andrew M. Collins, William D. Lees, Gur Yaari", "journals/nar/OmerSPPSWBCLY20", "Journal Articles"
"10.1093/nar/gky983", "ALEdb 1.0: a database of mutations from adaptive laboratory evolution experimentation.", "Nucleic Acids Res.", "2019", "Patrick V. Phaneuf, Dennis Gosting, Bernhard O. Palsson, Adam M. Feist", "journals/nar/PhaneufGPF19", "Journal Articles"
"10.1093/database/baw156", "BELMiner: adapting a rule-based relation extraction system to extract biological expression language statements from bio-medical literature evidence sentences.", "Database J. Biol. Databases Curation", "2017", "K. E. Ravikumar, Majid Rastegar-Mojarad, Hongfang Liu", "journals/biodb/RavikumarRL17", "Journal Articles"
"10.1093/database/baw135", "NERChem: adapting NERBio to chemical patents via full-token features and named entity feature with chemical sub-class composition.", "Database J. Biol. Databases Curation", "2016", "Richard Tzong-Han Tsai, Yu-Cheng Hsiao, Po-Ting Lai", "journals/biodb/TsaiHL16", "Journal Articles"
"10.1504/ijiids.2025.143488", "A novel heuristically adaptive dual attention-based long short-term memory for intelligent stock market trend prediction model.", "Int. J. Intell. Inf. Database Syst.", "2025", "Anuja Jana Naik, Madanant Jana Naik", "journals/ijiids/NaikN25", "Journal Articles"
"10.48550/arxiv.2505.04404", "In-Context Adaptation to Concept Drift for Learned Database Operations.", "CoRR", "2025", "Jiaqi Zhu 0002, Shaofeng Cai, Yanyan Shen, Gang Chen 0001, Fang Deng, Beng Chin Ooi", "journals/corr/abs-2505-04404", "Informal and Other Publications"
"10.48550/arxiv.2507.22943", "A chart review process aided by natural language processing and multi-wave adaptive sampling to expedite validation of code-based algorithms for large database studies.", "CoRR", "2025", "Shirley V. Wang, Georg Hahn, Sushama Kattinakere Sreedhara, Mufaddal Mahesri, Haritha S. Pillai, Rajendra Aldis, Joyce Lii, Sarah K. Dutcher, Rhoda Eniafe, Jamal T. Jones, Keewan Kim, Jiwei He, Hana Lee, Sengwee Toh, Rishi J. Desai, Jie Yang", "journals/corr/abs-2507-22943", "Informal and Other Publications"
"10.48550/arxiv.2509.23471", "Drift-Adapter: A Practical Approach to Near Zero-Downtime Embedding Model Upgrades in Vector Databases.", "CoRR", "2025", "Harshil Vejendla", "journals/corr/abs-2509-23471", "Informal and Other Publications"
"10.1007/s10619-023-07437-x", "Balanced parallel triangle enumeration with an adaptive algorithm.", "Distributed Parallel Databases", "2024", "Abir Farouzi, Xiantian Zhou, Ladjel Bellatreche, Mimoun Malki, Carlos Ordonez 0001", "journals/dpd/FarouziZBMO24", "Journal Articles"
