key|eeURI|title|authors|year|venue|docURI
journals_tosem_PerezRZ25|https://doi.org/10.1145/3697008|PROV-IDEA: Supporting Interoperable Schema and Data Provenance within Database Evolution.|Beatriz Pérez 0001', 'Ángel Luis Rubio', 'María A. Zapata'|2025|ACM Trans. Softw. Eng. Methodol.|https://dl.acm.org/doi/10.1145/3697008
journals_tweb_BleifussBNS25|https://doi.org/10.1145/3742920|Schema Change Recommendation for User-Curated Webtables Using Temporal Data.|Tobias Bleifuß', 'Leon Bornemann', 'Felix Naumann', 'Divesh Srivastava'|2025|ACM Trans. Web|https://dl.acm.org/doi/10.1145/3742920
conf_edbt_Vassiliadis025|https://doi.org/10.48786/edbt.2025.25|Time-Related Patterns Of Schema Evolution.|Panos Vassiliadis', 'Alexandros Karakasidis 0001'|2025|EDBT|https://link.springer.com/article/10.1007/s10619-021-07334-1
conf_iceis_CamposA25|https://doi.org/10.5220/0013349000003929|DynaSchema: A Library to Support the Relational Data Schema Evolution for the Self-Adaptive Software Domain.|Gabriel Nagassaki Campos', 'Frank José Affonso'|2025|ICEIS|https://www.scitepress.org/Link.aspx?doi=10.5220/0013349000003929
journals_infsof_SuarezOteroMST25|https://doi.org/10.1016/j.infsof.2025.107834|Data migration for column family database evolution.|Pablo Suárez-Otero', 'Michael J. Mior', 'María José Suárez-Cabal', 'Javier Tuya'|2025|Inf. Softw. Technol.|https://www.sciencedirect.com/science/article/pii/S0950584925001739?via%3Dihub
journals_jss_RamosVidalACLPP25|https://doi.org/10.1016/j.jss.2024.112285|SPL-DB-Sync: Seamless database transformation during feature-driven changes.|Delfina Ramos-Vidal', 'Wesley K. G. Assunção', 'Alejandro Cortiñas 0001', 'Miguel R. Luaces', 'Oscar Pedreira', 'Ángeles Saavedra Places'|2025|J. Syst. Softw.|https://www.sciencedirect.com/science/article/pii/S0164121224003297?via%3Dihub
journals_pvldb_AntonopoulosCDJKKKOPRST25|https://www.vldb.org/pvldb/vol18/p4791-antonopoulos.pdf|MD-MVCC: Multi-version Concurrency Control for Schema Changes in Azure SQL Database.|Panagiotis Antonopoulos', 'Mansi Chauhan', 'Shailender Dabas', 'Rajat Jain', 'Darshan Kattera', 'Wonseok Kim', 'Hanuma Kodavalla', 'Nikolas Ogg', 'Prashanth Purnananda', 'Rahul Ranjan', 'Alex Swanson', 'Divyesh Tikmani'|2025|Proc. VLDB Endow.|https://www.vldb.org/pvldb/vol18/p4791-antonopoulos.pdf
journals_pvldb_ZhangQSTGSL25|https://www.vldb.org/pvldb/vol18/p3655-zhang.pdf|EVOSCHEMA: TOWARDS TEXT-TO-SQL ROBUSTNESS AGAINST SCHEMA EVOLUTION.|Tianshu Zhang 0001', 'Kun Qian 0002', 'Siddhartha Sahai', 'Yuan Tian', 'Shaddy Garg', 'Huan Sun 0001', 'Yunyao Li 0001'|2025|Proc. VLDB Endow.|https://www.vldb.org/pvldb/vol18/p3655-zhang.pdf
journals_programming_EdwardsPSL24|https://doi.org/10.22152/programming-journal.org/2025/9/2|Schema Evolution in Interactive Programming Systems.|Jonathan Edwards', 'Tomas Petricek 0001', 'Tijs van der Storm', 'Geoffrey Litt'|2024|Art Sci. Eng. Program.|https://programming-journal.org/2025/9/2/
conf_dasfaa_ZengLGZZC24|https://doi.org/10.1007/978-981-97-5552-3_24|SLSM: An Efficient Strategy for Lazy Schema Migration on Shared-Nothing Databases.|Zhilin Zeng', 'Hui Li', 'Xiyue Gao', 'Hui Zhang', 'Huiquan Zhang', 'Jiangtao Cui'|2024|DASFAA|https://link.springer.com/chapter/10.1007/978-981-97-5552-3_24
journals_dke_FedushkoMSS24|https://doi.org/10.1016/j.datak.2024.102369|NoSQL document data migration strategy in the context of schema evolution.|Solomiia Fedushko', 'Roman Malyi', 'Yuriy Syerov', 'Pavlo Serdyuk'|2024|Data Knowl. Eng.|https://www.sciencedirect.com/science/article/pii/S0169023X24000934?via%3Dihub
journals_tkde_ChillonKRM24|https://doi.org/10.1109/TKDE.2024.3362273|A Generic Schema Evolution Approach for NoSQL and Relational Databases.|Alberto Hernández Chillón', 'Meike Klettke', 'Diego Sevilla Ruiz', 'Jesús García Molina'|2024|IEEE Trans. Knowl. Data Eng.|https://ieeexplore.ieee.org/document/10420500
conf_models_HauslerK24|https://doi.org/10.1145/3652620.3687781|Nautilus: Implementation of an Evolution Approach for Graph Databases.|Dominique Hausler', 'Meike Klettke'|2024|MoDELS|https://dl.acm.org/doi/10.1145/3652620.3687781?__cf_chl_rt_tk=L1U.4BGkCnqjBly2Z5vyOr.0KwPdbDbmZ0DKQcjiLgc-1766871629-1.0.1.1-_x1f9hNyMweECQiastm7f2AaclCUdU8RyGMcrgIRdTo
conf_RelMiCS_JoostenJ24|https://doi.org/10.1007/978-3-031-68279-7_11|Data Migration Under a Changing Schema in Ampersand.|Sebastiaan J. C. Joosten', 'Stef Joosten'|2024|RAMiCS|https://link.springer.com/chapter/10.1007/978-3-031-68279-7_11
conf_sbbd_YamanakaAADPSA24|https://doi.org/10.5753/sbbd.2024.240840|Statistical Validation of Column Matching in the Database Schema Evolution of the Brazilian Public School Census.|Muriki G. Yamanaka', 'Diogo Henrique de Almeida', 'Paulo Ricardo Lisboa de Almeida', 'Simone Dominico', 'Letícia M. Peres', 'Marcos Sfair Sunyé', 'Eduardo C. de Almeida'|2024|SBBD|https://sol.sbc.org.br/index.php/sbbd/article/view/30716
conf_eScience_SchulerSVWBK23|https://doi.org/10.1109/e-Science58273.2023.10254872|Database Evolution, by Scientists, for Scientists: A Case Study.|Robert E. Schuler', 'Jitin Singla', 'Brinda Vallat', 'Kate L. White', 'Helen M. Berman', 'Carl Kesselman'|2023|e-Science|https://ieeexplore.ieee.org/document/10254872
conf_edbt_VassiliadisSKZ23|https://doi.org/10.48786/edbt.2023.03|Joint Source and Schema Evolution: Insights from a Study of 195 FOSS Projects.|Panos Vassiliadis', 'Fation Shehaj', 'George Kalampokis', 'Apostolos V. Zarras'|2023|EDBT|https://sol.sbc.org.br/index.php/sbbd/article/view/30716
conf_edbt_Suarez-OteroMCT23|https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id250_Pablo_Suarez_Otero.pdf|Data migration in column family database evolution using MDE.|Pablo Suárez-Otero', 'Michael J. Mior', 'María José Suárez-Cabal', 'Javier Tuya'|2023|EDBT/ICDT Workshops|https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id250_Pablo_Suarez_Otero.pdf
conf_edbt_ChillonMHO23|https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id251_Alberto_Hernandez_Chillon.pdf|Propagating Schema Changes to Code: An Approach Based on a Unified Data Model.|Alberto Hernández Chillón', 'Jesús García Molina', 'José Ramón Hoyos', 'María-José Ortín-Ibáñez'|2023|EDBT/ICDT Workshops|https://ceur-ws.org/Vol-3379/CoMoNoS_2023_id251_Alberto_Hernandez_Chillon.pdf
conf_er_GiachosPBZV23|https://ceur-ws.org/Vol-3618/forum_paper_19.pdf|Parallel lives diagrams for co-evolving communities and their application to schema evolution.|Fanis Giachos', 'Nikos Pantelidis', 'Christos Batsilas', 'Apostolos V. Zarras', 'Panos Vassiliadis'|2023|ER|https://ceur-ws.org/Vol-3618/forum_paper_19.pdf
conf_er_HauslerKS23|https://ceur-ws.org/Vol-3618/forum_paper_8.pdf|A language for graph database evolution and its implementation in Neo4j.|Dominique Hausler', 'Meike Klettke', 'Uta Störl'|2023|ER|https://ceur-ws.org/Vol-3618/forum_paper_8.pdf
