"10.1109/cisti.2014.6877021", "Proposal for basic contents the subjects of Database in graduate studies in computer science at the Spanish universities adapted to the EHEA; [Propuesta de contenidos básicos para la/las asignatura/s de Bases de Datos en los estudios de Grado en Informática en las universidades españolas adaptadas al EEES]", "Iberian Conference on Information Systems and Technologies, CISTI", "2014", "Conference paper", ""Contreras J.A.; Arias J.; Luengo R.; Casas L.M."
"10.1007/s12652-022-04039-w", "Retraction Note to: An improved memory adaptive up-growth to mine high utility itemsets from large transaction databases(Journal of Ambient Intelligence and Humanized Computing, (2020), 12, (3841–3850), 10.1007/s12652-020-01706-8)", "Journal of Ambient Intelligence and Humanized Computing", "2023", "Erratum", ""Sathyavani D.; Sharmila D."
"10.3844/jcssp.2024.1744.1752", "Adaptivity in Role-Based Access Control During Stochastic Situations: A Comprehensive Study between Graph and Relational Databases", "Journal of Computer Science", "2024", "Article", ""Srivastava K.; Jain D.; Kamdar A.; Yeole A.; Shah D.; Dadheech S."
"10.1016/j.calphad.2011.06.003", "Calculating optimal conditions for alloy and process design using thermodynamic and property databases, the FactSage software and the Mesh Adaptive Direct Search algorithm", "Calphad: Computer Coupling of Phase Diagrams and Thermochemistry", "2012", "Article", ""Gheribi A.E.; Audet C.; Le Digabel S.; Blisle E.; Bale C.W.; Pelton A.D."
"10.3724/sp.j.1016.2011.00812", "An adaptive query relaxation approach for relational databases based on semantic similarity", "Jisuanji Xuebao/Chinese Journal of Computers", "2011", "Article", ""Meng X.-F.; Yan L.; Ma Z.-M.; Zhang F.; Wang X."
"10.1109/itnec.2019.8729341", "Adaptive compression algorithm selection using LSTM network in column-oriented database", "Proceedings of 2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference, ITNEC 2019", "2019", "Conference paper", ""Jin Y.; Fu Y.; Liu T.; Dong L."
"10.1007/978-3-642-37463-0_27", "Fuzzy clustering of image trademark database and pre-processing using adaptive filter and Karhunen-Loève transform", "Communications in Computer and Information Science", "2013", "Conference paper", ""Nigam A.; Indoria A.; Tripathi R.C."
"10.1109/icecds.2017.8389657", "Adaptive endstate concurrency control real-time distributed database", "2017 International Conference on Energy, Communication, Data Analytics and Soft Computing, ICECDS 2017", "2018", "Conference paper", ""Khatib M.S.; Atique M."
"10.3390/app10061915", "SAHA: A string adaptive hash table for analytical databases", "Applied Sciences (Switzerland)", "2020", "Article", ""Zheng T.; Zhang Z.; Cheng X."
"10.1142/s0219876219500361", "An Adaptive Parallel PI-Skyline Query for Probabilistic and Incomplete Database", "International Journal of Computational Methods", "2020", "Article", ""Liu Z.; Zeng Y.; He S.; Zhou Y."
"10.1007/978-3-030-11928-7_71", "Toward adaptive and reusable learning content using XML dynamic labeling schemes and relational databases", "Advances in Intelligent Systems and Computing", "2019", "Conference paper", ""Bousalem Z.; El Guabassi I.; Cherti I."
"10.1109/isctis65944.2025.11065324", "An Adaptive Split Index Scheme for In-Memory Database Systems", "2025 5th International Symposium on Computer Technology and Information Science, ISCTIS 2025", "2025", "Conference paper", ""Song H."
"10.1080/17415977.2020.1745792", "A synthesis method for path generation of a planar five-bar mechanism based on dynamic self-adaptive atlas database", "Inverse Problems in Science and Engineering", "2020", "Article", ""Sun J.; Xue N.; Liu W.; Chu J."
"10.1109/icastech.2011.6145155", "Towards an adaptive multi-agent architecture for association rule mining in distributed databases", "3rd IEEE International Conference on Adaptive Science and Technology, ICAST 2011, Proceedings", "2011", "Conference paper", ""Ogunde A.O.; Folorunso O.; Sodiya A.S.; Oguntuase J.A."
"10.2316/p.2012.789-034", "An adaptive load-sensing priority assignment protocol for real-time distributed database systems", "Proceedings of the IASTED International Conference on Parallel and Distributed Computing and Systems", "2012", "Conference paper", ""Haque W.; Mahmud S.N."
"10.1109/ictc66702.2025.11388468", "PureChain DBMS: A Zero-Gas Blockchain Database Management System with Adaptive Compression", "International Conference on ICT Convergence", "2025", "Conference paper", ""Angelo O.P.; Ahakonye L.A.C.; Lee J.M.; Kim D.-S."
"10.5194/isprs-archives-xlviii-4-w10-2024-101-2024", "Towards a multi-database CityGML environment adapted to big geodata issues of urban digital twins", "International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives", "2024", "Conference paper", ""Kasprzyk J.-P.; Nys G.-A.; Billen R."
"10.1016/j.chemolab.2015.05.024", "Adaptive database management based on the database monitoring index for long-term use of adaptive soft sensors", "Chemometrics and Intelligent Laboratory Systems", "2015", "Article", ""Kaneko H.; Funatsu K."
"10.1109/icicct.2018.8473136", "Adapting Deep Features for Scene Recognition utilizing Places Database", "Proceedings of the International Conference on Inventive Communication and Computational Technologies, ICICCT 2018", "2018", "Conference paper", ""Raturi R."
"10.1109/ic363308.2025.10956503", "A Strong and Adaptable Watermarking Methodology for Relational Databases", "2025 International Conference on Intelligent Control, Computing and Communications, IC3 2025", "2025", "Conference paper", ""Siri D.; Sangeetha S.; Kalaiselvi P.; Devayanai V.C.; Aljawahry H.M.M.; Behl R."
"10.35940/ijitee.i1117.0789s219", "An adaptive multiple databases for rough set based record deduplication", "International Journal of Innovative Technology and Exploring Engineering", "2019", "Article", ""Ravikanth M.; Vasumathi D."
"10.1007/s10596-013-9361-3", "A priori testing of sparse adaptive polynomial chaos expansions using an ocean general circulation model database", "Computational Geosciences", "2013", "Article", ""Winokur J.; Conrad P.; Sraj I.; Knio O.; Srinivasan A.; Thacker W.C.; Marzouk Y.; Iskandarani M."
"10.1109/cicn63059.2024.10847505", "Energy-Efficient Green Database Systems: Adaptive Resource Allocation in Cloud Platforms", "Proceedings - 2024 IEEE 16th International Conference on Communication Systems and Network Technologies, CICN 2024", "2024", "Conference paper", ""Patra A.; Kashyap A.; Ida Seraphim B."
"10.1016/j.bica.2018.01.002", "Emotion recognition from Marathi speech database using adaptive artificial neural network", "Biologically Inspired Cognitive Architectures", "2018", "Article", ""Darekar R.V.; Dhande A.P."
"10.1109/frse58934.2023.00033", "Joint Workload Forecasting and Configuration Tuning to Achieve Cloud Database Performance Adaptation", "Proceedings - 2023 International Conference on Frontiers of Robotics and Software Engineering, FRSE 2023", "2023", "Conference paper", ""Wang H.; Gao R.; Zhang C.; Wang L.; Li H."
"10.1109/iccsn.2017.8230111", "Database-based dynamic spectrum sharing with service adaptation using OMNeT++ simulator", "2017 9th IEEE International Conference on Communication Software and Networks, ICCSN 2017", "2017", "Conference paper", ""Li T.; Li L.; Kong L."
"10.1109/isps.2015.7244977", "Adaptation of language model of information retrieval for empty answers problem in databases", "12th International Symposium on Programming and Systems, ISPS 2015", "2015", "Conference paper", ""Chellal A.; Amrouche K."
"10.3390/electronics13081470", "Multi-Representation Joint Dynamic Domain Adaptation Network for Cross-Database Facial Expression Recognition", "Electronics (Switzerland)", "2024", "Article", ""Yan J.; Yue Y.; Yu K.; Zhou X.; Liu Y.; Wei J.; Yang Y."
"10.1109/icacr55854.2022.9935532", "An Adaptive Update Algorithm for Fingerprint Database Based on Validity Detection", "2022 6th International Conference on Automation, Control and Robots, ICACR 2022", "2022", "Conference paper", ""Zhang C.; Chen X.; Xu X.; Peng A."
"10.1109/cmss66566.2025.11182451", "Adaptive Auto-Scaling of Distributed Databases on Cloud Platforms via Reinforcement Learning-based Resource Optimization", "Proceedings of International Conference on Modern Sustainable Systems, CMSS 2025", "2025", "Conference paper", ""Zheng Y.; Yao J."
"10.1016/j.culher.2022.09.015", "A database approach to examine the relation between function and interventions in the adaptive reuse of industrial heritage", "Journal of Cultural Heritage", "2022", "Article", ""Yasemin Çakır H.; Edis E."
"10.1109/iwt.2015.7224554", "Channel allocation in Cognitive Radio networks based on a predictive and adaptive database", "IWT 2015 - 2015 International Workshop on Telecommunications", "2015", "Conference paper", ""Ribeiro S.M.; Centeno L.L.R.; De Castro M.C.F.; De Castro F.C.C.; Muller C."
"10.1155/2014/658149", "Adapting a database of text messages to a mobile-based weight loss program: The case of the middle east", "International Journal of Telemedicine and Applications", "2014", "Conference paper", ""Limam Mansar S.; Jariwala S.; Behih N.; Shahzad M.; Anggraini A."
